busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_async,loader_async_threads,loader_batch_size,loader_pes_per_node,loader_progress_thread,pep_ibatch_size,pep_no_preloading,pep_no_rdma,pep_num_threads,pep_obatch_size,pep_pes_per_node,pep_progress_thread,job_id,objective,timestamp_submit,timestamp_gather,timestamp_start,timestamp_end
True,6,10,7,23,4,fifo_wait,False,True,2,276,16,True,61,False,False,21,126,8,True,1,-3.6772057102528612,0.05503988265991211,0.06526899337768555,0.055081844329833984,0.06513309478759766
True,9,12,16,51,1,fifo_wait,True,True,3,663,8,True,157,False,False,12,706,32,True,2,-3.279230668863591,0.18750905990600586,0.19641709327697754,0.18754911422729492,0.19629216194152832
False,4,14,24,22,2,fifo_wait,True,True,14,498,4,True,197,False,False,7,155,32,True,3,-3.8869414980502937,0.33637213706970215,0.3450500965118408,0.3364090919494629,0.34491419792175293
False,8,15,11,55,32,fifo_wait,True,True,5,103,8,False,323,False,False,2,189,16,True,4,-3.602845406869984,0.465651273727417,0.4740030765533447,0.4656870365142822,0.4738752841949463
False,10,15,15,30,2,fifo,False,True,20,1216,4,True,11,False,False,28,80,8,True,5,-4.290748621608433,0.5959131717681885,0.6044881343841553,0.5959489345550537,0.6043701171875
True,12,4,25,20,16,fifo_wait,True,False,41,691,4,True,142,True,False,13,94,4,True,6,-4.66069253070346,0.7254550457000732,0.7334921360015869,0.7254912853240967,0.7333753108978271
False,16,3,24,36,32,fifo_wait,True,True,17,65,16,False,74,False,True,27,62,32,False,7,-4.214133478972737,0.8700950145721436,0.8787810802459717,0.870131254196167,0.8786590099334717
True,2,2,7,8,32,fifo_wait,False,True,5,15,8,True,18,True,True,4,24,4,True,8,-4.631930047379251,1.0007710456848145,1.0092461109161377,1.0008070468902588,1.0091121196746826
True,6,1,25,24,2,fifo_wait,False,True,36,448,1,True,131,False,False,8,340,16,True,9,-4.590728565817811,1.129122018814087,1.1371171474456787,1.1291592121124268,1.1369941234588623
True,11,8,1,52,32,fifo_wait,False,True,15,110,16,False,9,False,False,10,12,32,False,10,-4.006991061946855,1.260404109954834,1.2685790061950684,1.2604401111602783,1.2684600353240967
True,2,8,10,41,8,fifo,True,True,25,5,1,False,72,True,True,2,28,2,False,11,-5.717451332059289,1.388740062713623,1.3969120979309082,1.3887841701507568,1.3967909812927246
True,4,12,10,38,16,fifo_wait,False,True,32,160,2,True,25,False,True,4,854,8,True,12,-4.354504077415858,1.533621072769165,1.542098045349121,1.533663272857666,1.5419690608978271
False,6,7,16,8,32,fifo,False,True,20,1195,8,True,29,False,True,18,67,4,False,13,-4.619618778933947,1.6619019508361816,1.669783115386963,1.6619460582733154,1.6696560382843018
True,11,9,26,16,8,fifo_wait,False,True,12,971,16,False,136,True,True,8,269,16,False,14,-4.504386505338694,1.7904942035675049,1.79842209815979,1.7905361652374268,1.798295021057129
True,4,14,18,5,2,fifo_wait,False,False,1,270,8,True,584,False,True,5,115,16,True,15,-4.293371039601138,1.9187991619110107,1.9270398616790771,1.9188430309295654,1.9269030094146729
True,15,3,18,0,16,fifo,False,True,3,1472,2,False,130,True,True,30,783,4,False,16,-5.357818997247425,2.0652589797973633,2.073458194732666,2.065300941467285,2.0733249187469482
False,14,16,7,20,4,fifo_wait,True,False,2,3,2,False,18,True,False,17,23,4,False,17,-5.487371686143835,2.1976430416107178,2.205665111541748,2.1976850032806396,2.2055420875549316
True,11,4,6,34,16,fifo,False,False,2,1254,2,False,146,True,True,4,17,4,True,18,-4.7078405394994025,2.325639247894287,2.33354115486145,2.325681209564209,2.333416223526001
False,16,2,25,54,16,fifo_wait,True,False,6,595,1,True,10,False,True,28,336,1,True,19,-5.386385040905343,2.4548652172088623,2.4629650115966797,2.4549081325531006,2.4628379344940186
False,12,16,6,56,8,fifo,True,True,21,285,1,False,43,True,True,25,120,4,True,20,-5.213193673018409,2.5829548835754395,2.5910420417785645,2.582998037338257,2.5907461643218994
False,1,7,24,46,1,fifo,True,True,13,2029,8,False,483,False,False,24,100,16,False,21,-4.200858701655399,2.7255311012268066,2.733570098876953,2.7255730628967285,2.7334420680999756
False,6,11,9,2,1,fifo,False,True,7,2,4,False,456,False,True,4,1011,2,True,22,-5.631154543968614,2.8528361320495605,2.860991954803467,2.8528780937194824,2.8608639240264893
True,12,8,16,33,32,fifo,True,False,15,22,4,False,12,True,False,7,206,32,True,23,-4.972926159003053,2.980355978012085,2.9882280826568604,2.980397939682007,2.988101005554199
True,4,15,6,12,32,fifo,True,False,48,1357,1,True,846,False,False,28,177,32,True,24,-5.109699778171947,3.107954263687134,3.1159181594848633,3.1079962253570557,3.1157889366149902
True,5,9,19,12,32,fifo,True,False,13,251,2,False,9,True,False,17,97,1,False,25,-5.383555234949205,3.2352020740509033,3.2433042526245117,3.2352449893951416,3.243173122406006
True,10,7,24,61,1,fifo,True,True,26,1255,8,False,199,True,False,8,49,4,True,26,-4.966212736662575,3.378610134124756,3.386660099029541,3.3786542415618896,3.3865272998809814
False,10,8,24,28,2,fifo_wait,False,False,8,2,1,True,19,True,False,3,514,16,False,27,-5.702001188149732,3.506610155105591,3.514813184738159,3.506653070449829,3.5146842002868652
True,12,7,15,63,32,fifo,True,False,17,8,16,True,159,False,True,17,156,1,False,28,-5.573807175148839,3.6368491649627686,3.6449801921844482,3.6368911266326904,3.6448402404785156
True,15,15,32,17,8,fifo,False,False,2,1442,1,True,391,True,True,15,16,1,True,29,-5.172031070957369,3.7654759883880615,3.7734780311584473,3.765519142150879,3.773348093032837
True,8,7,32,41,8,fifo_wait,False,True,1,2,1,True,67,False,True,17,580,4,False,30,-5.443012501953576,3.9096779823303223,3.9177582263946533,3.9097211360931396,3.9176230430603027
