busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_batch_size,loader_pes_per_node,loader_progress_thread,loader_async,loader_async_threads,pep_progress_thread,pep_num_threads,pep_ibatch_size,pep_obatch_size,pep_pes_per_node,pep_no_preloading,pep_no_rdma,scale,enable_pep,more_params,objective,elapsed_sec
True,12,14,21,47,16,fifo_wait,True,606,16,True,True,47,True,6,23,55,4,True,True,8,True,True,4.529271649980298,95.68887972831726
True,11,14,12,63,8,fifo_wait,True,135,16,True,True,18,True,8,157,75,32,True,True,8,True,True,4.427183414152716,179.51892971992493
True,6,6,24,37,16,fifo_wait,True,290,16,True,True,7,True,4,519,15,1,True,True,8,True,True,4.580667657053987,278.6206603050232
True,4,7,9,62,8,fifo_wait,True,32,8,True,True,27,True,1,33,263,16,True,True,8,True,True,4.376258534478469,358.28797793388367
True,11,13,23,27,8,fifo,True,65,8,True,True,11,True,9,715,17,4,True,True,8,True,True,5.109223300819391,523.9070203304291
True,6,15,11,51,1,fifo,True,49,2,True,True,28,True,20,114,132,16,True,True,8,True,True,5.105315702156276,688.9473617076874
True,3,11,27,39,8,fifo_wait,True,40,2,True,True,2,True,20,895,60,8,True,True,8,True,True,5.042133223371331,843.8926360607147
True,2,6,3,28,2,fifo_wait,True,78,4,True,True,38,True,24,12,8,1,True,True,8,True,True,5.386919660625884,1062.4750444889069
True,16,6,10,41,1,fifo_wait,True,10,1,True,True,17,True,21,275,326,2,True,True,8,True,True,5.674570565770247,1353.902888059616
True,5,1,1,59,32,fifo_wait,True,54,4,True,True,2,True,17,182,27,1,True,True,8,True,True,5.194076365881444,1534.25217294693
True,6,13,27,57,32,fifo_wait,True,655,16,True,True,43,True,2,989,867,32,True,True,8,True,True,4.479729997761282,1634.9949536323547
True,3,2,27,31,8,fifo_wait,True,1052,16,True,True,35,True,3,333,512,4,True,True,8,True,True,4.5880971919378695,1744.949030637741
True,7,8,17,16,8,fifo_wait,True,1070,16,True,True,15,True,1,733,120,16,True,True,8,True,True,4.563241507790546,1888.2718012332916
True,2,15,2,61,32,fifo_wait,True,658,4,True,True,61,True,3,895,745,16,True,True,8,True,True,4.6343287023328825,2006.8405344486237
True,3,15,32,49,4,fifo_wait,True,1185,8,True,True,5,True,2,367,690,16,True,True,8,True,True,4.526549097535172,2164.2695758342743
True,1,12,5,29,2,fifo,True,1027,16,True,True,59,True,4,519,340,32,True,True,8,True,True,4.515046335818157,2320.5252401828766
True,1,6,32,30,8,fifo_wait,True,1122,16,True,True,52,True,3,697,474,4,True,True,8,True,True,4.601035167589139,2448.088756084442
True,3,16,5,2,16,fifo_wait,True,1784,16,True,True,28,True,15,420,314,16,True,True,8,True,True,4.751484922707165,2577.9025897979736
True,1,14,12,22,8,fifo,True,1733,8,True,True,53,True,2,323,667,8,True,True,8,True,True,4.396024076728217,2724.7758700847626
True,12,3,2,32,32,fifo_wait,True,491,16,True,True,57,True,1,477,903,16,True,True,8,True,True,4.549755144255192,2885.7165489196777
True,14,15,27,32,32,fifo,True,417,16,True,True,56,True,2,182,750,16,True,True,8,True,True,4.785257407017836,3071.857726097107
True,15,5,6,59,1,fifo_wait,True,1732,2,True,True,24,True,1,944,540,16,True,True,8,True,True,4.571299715342042,3235.188962936402
True,2,2,6,61,16,fifo,True,1799,16,True,True,40,True,2,50,183,16,True,True,8,True,True,4.288836324019481,3375.1758086681366
True,3,11,24,38,4,fifo,True,1864,16,True,True,35,True,5,499,215,16,True,True,8,True,True,4.441327330034451,3519.3989222049713
True,6,9,22,56,32,fifo_wait,True,1939,8,True,True,25,True,5,830,671,2,True,True,8,True,True,4.51854554026068,3676.9549384117126
True,10,15,3,1,4,fifo_wait,True,1140,16,True,True,39,True,2,712,546,32,True,True,8,True,True,4.810820601388566,3867.7533910274506
True,3,5,3,62,4,fifo_wait,True,1689,16,True,True,51,True,4,34,393,2,True,True,8,True,True,4.370951469323074,4015.021639585495
True,8,14,8,47,2,fifo,True,1615,16,True,True,6,True,5,986,978,1,True,True,8,True,True,4.399642655569061,4165.612949848175
True,1,16,6,61,1,fifo,True,1233,8,True,True,45,True,5,37,815,1,True,True,8,True,True,4.558015293969491,4320.926118373871
True,7,15,1,31,32,fifo,True,634,16,True,True,17,True,4,721,773,2,True,True,8,True,True,4.548494249223029,4431.608169555664
True,5,11,25,43,4,fifo,True,1931,1,True,True,45,True,5,517,31,2,True,True,8,True,True,5.358305774302025,4714.024124383926
True,2,5,12,55,1,fifo,True,6,1,True,True,3,True,10,583,955,2,True,True,8,True,True,5.400032123661339,4976.44627904892
True,8,6,10,62,1,fifo_wait,True,1847,16,True,True,4,True,2,1012,930,4,True,True,8,True,True,4.235338695250576,5057.925665140152
True,6,12,2,36,1,fifo_wait,True,345,16,True,True,15,True,1,564,698,8,True,True,8,True,True,4.5471100846024965,5165.69399356842
True,3,3,13,40,4,fifo,True,1295,16,True,True,38,True,31,174,405,16,True,True,8,True,True,4.63919921401328,5341.087483406067
