busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_batch_size,loader_pes_per_node,loader_progress_thread,scale,enable_pep,more_params,objective,elapsed_sec
False,15,4,22,7,4,fifo_wait,True,2035,16,True,4,False,False,2.6943832399950844,236.19665026664737
False,15,15,5,49,4,fifo_wait,False,1205,16,False,4,False,False,2.437509976654209,240.05778622627255
False,1,8,22,39,4,fifo,False,934,16,True,4,False,False,2.4276204632827394,244.03743839263916
True,15,5,11,62,2,fifo,True,1457,16,True,4,False,False,2.395986609254816,248.61563086509705
True,2,11,13,62,2,fifo,True,1313,16,True,4,False,False,2.439215542665721,253.45331835746765
False,15,3,23,54,32,fifo,True,2020,16,True,4,False,False,3.815325284299592,257.97316241264343
False,8,3,6,29,4,fifo,False,1667,16,True,4,False,False,2.394505600970453,262.28411197662354
False,15,8,9,36,2,fifo,False,1773,16,False,4,False,False,2.378065844522365,266.72933554649353
False,1,13,10,55,4,fifo,False,1774,8,False,4,False,False,2.821361205681236,271.70398020744324
False,5,12,28,42,32,fifo,True,207,1,True,4,False,False,5.153693427789967,276.62967443466187
True,15,3,32,17,16,fifo,True,753,16,True,4,False,False,2.7930789639254754,280.4561450481415
False,1,14,16,44,1,fifo_wait,False,1947,1,True,4,False,False,4.590964389581395,286.6043393611908
True,13,6,26,59,8,fifo_wait,True,1186,16,False,4,False,False,2.4302356934770177,290.89828753471375
False,6,9,4,41,2,fifo,False,596,16,False,4,False,False,2.4689710616570535,296.89761877059937
True,5,2,2,5,4,fifo,True,1348,16,False,4,False,False,2.6753921848461597,301.0953826904297
True,15,7,14,53,4,fifo_wait,False,1979,16,False,4,False,False,2.3736099442667764,305.0530159473419
True,5,2,10,60,2,fifo,True,1948,16,False,4,False,False,2.4264007489547375,309.16766357421875
True,1,2,15,63,8,fifo,False,691,16,False,4,False,False,2.4801488485540566,313.76032543182373
False,11,8,23,17,1,fifo,False,1900,16,True,4,False,False,2.6050092088204817,318.3394224643707
False,2,10,18,56,16,fifo_wait,True,595,16,True,4,False,False,2.6441180725191984,322.4026572704315
False,16,4,28,54,16,fifo_wait,True,901,16,True,4,False,False,2.5699389342592336,326.4759638309479
False,15,5,20,57,8,fifo_wait,True,1132,16,True,4,False,False,2.392283384577328,330.5159242153168
True,13,3,28,4,2,fifo,False,686,16,False,4,False,False,3.0235662446199627,334.88030195236206
True,2,14,21,38,8,fifo,False,1274,16,False,4,False,False,2.477796603992183,339.05758786201477
True,13,5,30,43,32,fifo_wait,False,130,16,True,4,False,False,2.77813866752333,344.11055421829224
False,14,14,28,44,4,fifo,False,1774,16,True,4,False,False,2.430455803586795,348.371374130249
False,3,16,25,51,1,fifo,True,1898,16,True,4,False,False,2.514726808582904,352.484726190567
False,6,15,32,53,8,fifo_wait,False,1443,16,True,4,False,False,2.496969261509596,356.6247913837433
True,14,4,20,30,8,fifo,False,1976,16,False,4,False,False,2.4327756473197923,361.702380657196
True,14,6,8,29,4,fifo,False,2020,16,False,4,False,False,2.374902667494516,365.8656711578369
False,13,15,1,48,1,fifo,False,1222,16,False,4,False,False,2.5569334994946287,370.32661843299866
True,7,2,6,42,8,fifo_wait,False,761,16,False,4,False,False,2.4461309597842047,375.7865526676178
False,10,16,5,8,2,fifo,False,1890,16,True,4,False,False,2.5873278350024886,379.8725860118866
True,15,5,29,19,8,fifo,False,1641,16,False,4,False,False,2.564750262439973,384.70316314697266
True,4,12,9,17,32,fifo_wait,True,1912,1,False,4,False,False,5.164664025746401,388.8737893104553
True,4,8,4,31,1,fifo,True,856,1,False,4,False,False,4.565377839255421,394.0587284564972
False,2,5,18,59,4,fifo,False,1848,16,True,4,False,False,2.394431299991296,398.4714195728302
