busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_batch_size,loader_pes_per_node,loader_progress_thread,loader_async,loader_async_threads,pep_progress_thread,pep_num_threads,pep_ibatch_size,pep_obatch_size,pep_pes_per_node,pep_no_preloading,pep_no_rdma,scale,enable_pep,more_params,objective,elapsed_sec
True,6,10,7,23,4,fifo_wait,False,276,16,True,True,2,True,21,61,126,8,False,False,4,True,True,3.677205710252861,5.400542259216309
True,9,12,16,51,1,fifo_wait,True,663,8,True,True,3,True,12,157,706,32,False,False,4,True,True,3.279230668863591,8.440007448196411
False,4,14,24,22,2,fifo_wait,True,498,4,True,True,14,True,7,197,155,32,False,False,4,True,True,3.8869414980502937,12.61261248588562
False,8,15,11,55,32,fifo_wait,True,103,8,False,True,5,True,2,323,189,16,False,False,4,True,True,3.602845406869984,15.64638376235962
False,10,15,15,30,2,fifo,False,1216,4,True,True,20,True,28,11,80,8,False,False,4,True,True,4.290748621608433,18.68022060394287
True,12,4,25,20,16,fifo_wait,True,691,4,True,False,41,True,13,142,94,4,True,False,4,True,True,4.66069253070346,21.713934183120728
False,16,3,24,36,32,fifo_wait,True,65,16,False,True,17,False,27,74,62,32,False,True,4,True,True,4.214133478972737,24.74784803390503
True,2,2,7,8,32,fifo_wait,False,15,8,True,True,5,True,4,18,24,4,True,True,4,True,True,4.631930047379251,27.782514810562137
True,6,1,25,24,2,fifo_wait,False,448,1,True,True,36,True,8,131,340,16,False,False,4,True,True,4.590728565817811,30.817014932632446
True,11,8,1,52,32,fifo_wait,False,110,16,False,True,15,False,10,9,12,32,False,False,4,True,True,4.006991061946855,33.852094650268555
True,10,4,22,43,2,fifo,True,1713,16,False,False,3,False,17,514,934,1,False,False,4,True,True,5.185027564718694,41.168039321899414
True,14,16,11,53,1,fifo_wait,True,122,1,True,True,4,False,27,163,229,8,False,True,4,True,True,5.07875308055793,48.55001616477966
False,3,13,25,56,2,fifo,False,254,16,True,True,8,True,5,465,475,32,False,False,4,True,True,3.540855614006067,56.172085762023926
False,3,11,2,62,4,fifo_wait,True,614,16,False,False,59,True,2,472,23,32,False,False,4,True,True,3.709124069057044,64.87151455879211
False,12,14,10,26,32,fifo_wait,False,1758,16,True,True,14,True,23,138,533,32,True,False,4,True,True,4.691584608812581,72.16228604316711
True,10,7,24,56,2,fifo_wait,True,716,16,False,False,54,True,19,185,41,32,False,False,4,True,True,3.971223518911267,79.63561511039734
True,9,2,31,61,1,fifo,False,240,16,True,True,44,True,15,902,329,2,True,False,4,True,True,4.960081320317843,87.3465461730957
True,6,14,27,61,8,fifo_wait,False,1162,16,True,True,56,True,18,39,563,8,False,True,4,True,True,4.0899014242611855,94.71049761772156
True,1,14,3,22,2,fifo,True,85,8,True,False,55,True,15,220,140,1,False,False,4,True,True,4.796915924838517,102.2862992286682
False,1,16,6,37,1,fifo,True,465,4,True,False,17,True,31,592,238,32,False,False,4,True,True,4.223578483529397,109.8433427810669
True,1,14,25,63,8,fifo_wait,False,737,16,True,False,54,True,22,509,132,4,False,True,4,True,True,4.4565483084196575,117.16976833343506
False,3,5,11,57,8,fifo_wait,True,376,16,True,True,29,False,7,160,467,16,False,False,4,True,True,3.947820515784958,124.83280539512634
False,9,9,12,41,32,fifo,False,611,16,True,True,40,True,12,806,96,32,False,False,4,True,True,3.7223096718653528,132.4178683757782
True,8,10,5,40,16,fifo,True,292,16,True,True,11,True,8,858,849,32,False,True,4,True,True,3.3647179351279837,139.97464990615845
True,12,6,17,24,8,fifo_wait,False,1952,16,False,True,26,True,9,493,929,32,False,True,4,True,True,3.6672044228183855,147.29350113868713
False,2,15,25,28,16,fifo,False,374,16,True,True,25,True,3,417,974,8,False,False,4,True,True,3.855871764736832,155.45698857307434
True,9,11,31,48,8,fifo_wait,False,1935,16,True,True,40,True,5,360,700,32,False,False,4,True,True,3.750882261318725,162.79495787620544
False,11,5,26,50,16,fifo,True,1819,1,False,True,51,True,3,626,79,32,True,False,4,True,True,5.106199337249133,170.2156548500061
False,8,6,12,39,8,fifo,True,446,16,True,False,35,True,3,337,243,16,False,True,4,True,True,3.604708605620522,177.85316848754883
False,4,2,30,44,4,fifo_wait,True,1203,16,False,False,9,True,6,85,341,32,False,True,4,True,True,3.4157985571273715,185.63136959075928
False,7,7,17,53,1,fifo_wait,True,521,16,False,True,56,True,27,289,737,32,False,True,4,True,True,4.151438272279851,193.45191621780396
False,13,3,16,39,16,fifo_wait,True,402,8,True,False,31,True,3,817,901,32,False,False,4,True,True,3.674952041763274,201.814475774765
False,2,13,15,58,2,fifo_wait,False,1831,16,False,False,7,True,10,454,435,32,False,True,4,True,True,3.3922865739972945,209.1504421234131
True,12,12,19,57,2,fifo,True,19,16,False,True,37,False,2,580,980,32,False,True,4,True,True,5.357300676503114,216.68999099731445
