busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_batch_size,loader_pes_per_node,loader_progress_thread,scale,enable_pep,more_params,objective,elapsed_sec
True,15,15,32,62,4,fifo,False,850,16,True,4,False,False,2.5130040681935153,3.353654146194458
False,8,1,15,43,8,fifo_wait,True,1838,4,False,4,False,False,3.28571610962056,4.389490604400635
False,13,9,10,5,4,fifo_wait,True,1313,8,True,4,False,False,3.071579801440806,6.6756532192230225
False,11,6,14,0,16,fifo,False,99,4,False,4,False,False,5.037141758978422,7.709534406661987
False,12,13,24,13,8,fifo,False,712,8,True,4,False,False,3.478152110028719,8.743873357772827
True,4,3,19,50,2,fifo_wait,True,752,2,True,4,False,False,3.8879757010764817,9.777925252914429
True,11,8,12,36,4,fifo,True,45,8,False,4,False,False,3.945053062526517,10.81213927268982
True,13,5,18,0,8,fifo,False,1276,2,True,4,False,False,4.0669209815826735,11.847166538238524
False,2,11,27,45,8,fifo_wait,True,1664,2,True,4,False,False,4.0568633333415915,12.881500959396362
False,1,7,11,16,4,fifo,True,1340,2,False,4,False,False,3.9404921772874606,13.915989875793455
True,13,2,15,27,1,fifo,False,1880,16,True,4,False,False,2.5502874276318903,17.61793613433838
True,12,13,13,38,32,fifo_wait,True,2031,16,True,4,False,False,3.019221507011647,21.274370670318604
False,11,10,29,50,1,fifo,True,1689,16,True,4,False,False,2.52485037648385,25.0161030292511
True,11,4,11,47,1,fifo_wait,False,1952,16,False,4,False,False,2.5061357387610244,28.69656491279602
True,14,7,21,61,1,fifo_wait,False,978,16,True,4,False,False,2.6255296531332206,32.40476393699646
False,3,14,26,19,2,fifo,False,2008,16,True,4,False,False,2.5493329921432135,36.209073066711426
False,14,15,14,48,2,fifo,False,1501,16,False,4,False,False,2.4366555457980734,39.91355538368225
False,4,15,2,42,1,fifo,True,596,16,False,4,False,False,2.6362222368565575,43.62370252609253
True,14,16,30,10,2,fifo_wait,False,1241,16,True,4,False,False,2.776188974176584,47.35203742980957
True,15,8,26,55,1,fifo_wait,False,2041,16,False,4,False,False,2.537575937631324,51.18417692184448
True,10,15,5,63,1,fifo,False,1540,16,True,4,False,False,2.52634043843692,54.86398649215698
False,14,3,30,56,32,fifo,True,1913,8,False,4,False,False,4.003274894852785,58.6780059337616
False,2,9,10,58,1,fifo,True,1995,16,True,4,False,False,2.497344464539357,62.5628616809845
True,7,2,29,42,1,fifo_wait,True,2021,8,True,4,False,False,2.8511625545813546,66.33774399757385
False,6,7,19,59,4,fifo,True,1893,16,True,4,False,False,2.381180886095792,70.13324618339539
True,4,16,10,42,1,fifo,True,1192,1,True,4,False,False,4.613373981765391,73.98236894607544
False,2,15,8,44,1,fifo_wait,True,1925,16,False,4,False,False,2.509312052583602,77.80886149406433
True,16,16,31,21,4,fifo,True,1904,8,False,4,False,False,3.010023473531817,81.69821047782898
True,8,14,1,51,1,fifo,False,1548,16,False,4,False,False,2.526494146436008,85.42167401313782
False,4,3,6,13,1,fifo_wait,False,1453,8,False,4,False,False,3.05682349250238,89.57715511322021
False,2,16,14,56,16,fifo,True,1999,16,True,4,False,False,2.840573361492483,93.35012650489809
True,2,16,27,29,1,fifo,True,1036,16,False,4,False,False,2.615539633615499,97.22236967086792
False,10,7,15,56,1,fifo,False,2027,4,True,4,False,False,3.299831742858692,102.10942649841309
False,12,9,8,49,1,fifo_wait,False,2033,16,False,4,False,False,2.4792120325478595,105.8871214389801
False,7,14,3,62,2,fifo_wait,True,1960,16,False,4,False,False,2.457882378907779,109.62523126602171
False,14,14,11,45,1,fifo_wait,True,2033,8,True,4,False,False,2.8208237121101547,113.48576998710632
False,4,15,18,33,1,fifo,False,1571,16,False,4,False,False,2.4708595498833543,117.29511952400208
True,4,15,7,51,1,fifo,False,11,16,True,4,False,False,5.50852151727121,121.14111185073853
True,14,12,3,25,32,fifo,False,1853,16,False,4,False,False,3.7023061202527265,125.02307319641112
True,13,11,23,24,4,fifo,True,1491,16,True,4,False,False,2.383245323123777,129.08704590797424
False,15,9,5,53,1,fifo,True,564,4,False,4,False,False,3.46555991411609,132.86638236045837
True,12,13,28,30,16,fifo,True,952,16,False,4,False,False,2.6514831578981273,136.8206787109375
False,6,14,9,52,32,fifo,True,778,16,True,4,False,False,4.093277149448629,140.91476917266846
True,16,10,19,30,2,fifo,True,775,16,False,4,False,False,2.4474822963136766,145.19406700134277
True,9,2,30,19,4,fifo,True,912,16,False,4,False,False,2.6046300110731604,149.33598160743713
True,5,12,25,59,8,fifo_wait,True,1217,16,False,4,False,False,2.459217657710091,153.21263313293457
False,1,6,1,37,2,fifo,True,1422,16,False,4,False,False,2.39846200746096,156.95756268501282
False,1,13,18,26,1,fifo_wait,True,1190,16,False,4,False,False,2.498566567970956,160.69888138771057
True,13,11,8,52,2,fifo_wait,True,2031,16,True,4,False,False,2.3915663475524696,164.67413687705994
False,12,5,31,35,16,fifo,True,21,1,True,4,False,False,5.515732768368979,168.67006540298462
True,13,3,24,47,4,fifo,True,1355,16,True,4,False,False,2.3906821012467097,172.91534638404846
False,9,5,4,4,32,fifo,True,2004,1,True,4,False,False,4.814916132012952,177.41414546966553
True,3,2,29,62,4,fifo,True,757,16,False,4,False,False,2.484649131294912,181.30651140213013
True,1,5,20,12,8,fifo,True,1588,16,False,4,False,False,2.6176530005379695,185.2246379852295
True,15,5,2,0,4,fifo,True,1345,16,True,4,False,False,2.7384684266532933,189.5202238559723
True,7,14,8,33,8,fifo_wait,False,1984,1,False,4,False,False,4.738443092405033,193.5568597316742
True,3,15,13,53,1,fifo_wait,False,1939,8,False,4,False,False,2.818695293815309,197.71569085121155
True,12,15,29,28,4,fifo,True,729,16,False,4,False,False,2.490412222970633,201.5742614269257
False,2,7,11,28,8,fifo,True,698,16,False,4,False,False,2.479594858423828,205.50019669532776
True,16,8,14,30,8,fifo,True,815,16,False,4,False,False,2.486442759695592,209.43869829177856
True,15,16,31,53,1,fifo_wait,True,1799,16,False,4,False,False,2.5635323877475447,213.39903664588928
False,15,4,24,51,1,fifo_wait,False,1906,16,False,4,False,False,2.541522402815895,217.45246410369873
False,3,4,23,61,2,fifo,True,985,16,False,4,False,False,2.463917099753897,222.31261944770813
False,2,13,28,40,32,fifo,True,2014,16,False,4,False,False,3.880526525770213,226.53904795646667
False,16,16,23,58,4,fifo_wait,True,955,8,False,4,False,False,2.8564103387812794,230.98021984100345
False,4,7,29,35,1,fifo_wait,True,1910,16,False,4,False,False,2.5075744460531246,235.32183289527893
True,1,3,30,0,2,fifo,True,545,16,False,4,False,False,3.163168943811086,239.900723695755
False,2,2,3,3,2,fifo_wait,True,335,1,False,4,False,False,4.722769211703845,243.7796504497528
True,6,13,16,39,8,fifo_wait,True,1918,16,True,4,False,False,2.418821909203589,247.7250635623932
True,1,2,7,56,2,fifo_wait,True,2038,16,False,4,False,False,2.3805547462051377,251.80303502082825
True,7,7,17,50,1,fifo,True,1161,16,False,4,False,False,2.55432328435794,256.3210036754608
False,6,6,13,51,4,fifo,True,840,16,False,4,False,False,2.4414978326441696,260.50819420814514
True,10,14,19,56,8,fifo,True,844,16,False,4,False,False,2.5190403664975536,264.7241270542145
False,8,6,6,54,16,fifo,True,1495,16,True,4,False,False,2.6781550169201975,268.99791741371155
False,14,11,7,17,8,fifo,False,1292,16,False,4,False,False,2.507311684795813,273.37167167663574
False,10,13,3,9,8,fifo,False,1443,16,False,4,False,False,2.565296968864078,277.6088101863861
False,5,13,15,20,8,fifo,True,1089,16,True,4,False,False,2.4835906493206084,281.6220335960388
