busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_batch_size,loader_pes_per_node,loader_progress_thread,loader_async,loader_async_threads,pep_progress_thread,pep_num_threads,pep_ibatch_size,pep_obatch_size,pep_pes_per_node,pep_no_preloading,pep_no_rdma,scale,enable_pep,more_params,objective,elapsed_sec
True,12,12,22,39,32,fifo,True,1476,2,False,True,11,False,21,832,210,4,False,True,4,True,True,4.873518567829834,133.0964047908783
True,13,6,17,54,16,fifo_wait,True,193,16,True,True,5,False,18,349,229,32,False,False,4,True,True,3.509795665497463,166.71135449409485
False,15,13,6,36,16,fifo,True,1770,8,True,True,7,False,14,10,254,32,False,True,4,True,True,3.713283240830908,209.07057166099548
True,5,1,13,23,32,fifo_wait,False,49,4,False,True,13,False,4,76,239,4,True,True,4,True,True,4.362477563405376,287.66189455986023
True,7,13,24,29,4,fifo,True,246,2,False,True,17,False,9,75,36,32,False,False,4,True,True,4.295968824754549,361.19576478004456
False,1,10,18,48,1,fifo,True,105,16,False,False,35,False,5,92,25,16,False,True,4,True,True,4.332552967900931,437.47154092788696
True,16,2,11,36,8,fifo,True,924,16,True,True,33,False,15,23,490,32,True,False,4,True,True,4.33950954679147,514.27481341362
False,7,2,4,51,2,fifo_wait,False,79,2,True,False,24,True,6,197,183,16,False,False,4,True,True,4.4337883910162095,598.6666281223297
True,8,14,30,40,4,fifo_wait,False,113,2,False,False,20,True,11,244,186,2,False,True,4,True,True,4.675203147657737,706.0787794589996
False,11,12,15,33,8,fifo,False,2042,2,False,True,61,True,22,41,128,32,False,False,4,True,True,4.5160600612322686,797.7049283981323
True,13,4,27,36,8,fifo,True,1917,8,True,False,1,False,10,37,490,16,True,False,4,True,True,4.481271168294231,891.2454900741577
False,16,4,21,13,4,fifo_wait,False,1703,2,True,True,18,False,4,194,30,32,False,True,4,True,True,4.611635017090196,996.3922848701476
True,5,6,2,25,8,fifo,True,967,16,False,True,11,False,25,124,719,32,False,True,4,True,True,3.9032273251959744,1050.3155901432035
True,13,4,19,35,32,fifo_wait,False,814,16,False,True,5,False,3,243,857,8,False,True,4,True,True,4.471822388891704,1142.220904588699
True,11,12,3,43,32,fifo_wait,False,958,8,True,False,6,False,28,927,378,16,True,True,4,True,True,4.6546766792011285,1251.8556735515594
False,16,3,23,63,1,fifo_wait,True,170,16,True,True,16,False,22,195,30,8,False,False,4,True,True,4.207440527443233,1323.6765325069427
False,12,16,5,57,16,fifo_wait,True,1723,16,False,False,1,True,5,17,383,32,False,True,4,True,True,3.3382393356109334,1356.2141315937042
False,4,14,5,50,16,fifo_wait,True,216,4,True,True,53,False,23,201,516,2,False,True,4,True,True,5.013028255869919,1510.91348862648
True,3,3,7,60,2,fifo_wait,True,802,1,True,True,16,True,29,887,585,32,False,True,4,True,True,4.910037302674938,1651.2880883216858
False,9,15,27,51,4,fifo_wait,True,244,8,True,True,11,True,28,499,311,32,True,False,4,True,True,4.7035829243197975,1766.6845560073853
True,16,8,7,40,4,fifo_wait,False,336,16,True,True,5,True,23,101,401,4,True,True,4,True,True,4.449809874687081,1856.930888414383
False,7,15,24,5,1,fifo_wait,False,1815,2,False,False,8,True,28,55,572,1,False,False,4,True,True,5.450495817356555,2094.339233160019
True,10,8,1,50,8,fifo_wait,False,1216,1,False,False,61,False,12,342,436,1,False,False,4,True,True,5.262619494660627,2292.139914751053
True,1,11,15,37,32,fifo_wait,True,683,16,False,False,14,True,7,277,317,32,False,True,4,True,True,3.614054565157471,2334.091166496277
True,13,15,1,40,32,fifo_wait,False,1946,4,True,True,30,True,19,41,904,32,False,True,4,True,True,4.397767405761673,2421.455609560013
True,7,16,10,28,32,fifo,True,1799,16,True,True,7,False,2,64,441,32,True,True,4,True,True,4.495930194271667,2516.070966243744
False,3,14,25,57,32,fifo_wait,False,1410,16,False,True,4,True,4,185,273,32,True,False,4,True,True,4.693778188097529,2630.7707064151764
True,9,5,7,12,16,fifo_wait,True,1284,16,False,True,4,True,12,651,148,16,False,True,4,True,True,3.828434749558361,2681.3042266368866
False,13,6,9,54,16,fifo_wait,True,238,4,True,True,3,True,22,23,592,2,True,True,4,True,True,4.695711340685709,2795.3347313404083
False,1,10,30,37,32,fifo_wait,True,4,4,False,True,2,True,26,238,608,32,True,True,4,True,True,5.427635577017325,3027.958175420761
False,4,11,2,62,8,fifo,True,633,16,False,True,5,True,29,762,790,16,False,True,4,True,True,3.954575239201871,3084.7576467990875
