busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_async,loader_async_threads,loader_batch_size,loader_pes_per_node,loader_progress_thread,pep_ibatch_size,pep_no_preloading,pep_no_rdma,pep_num_threads,pep_obatch_size,pep_pes_per_node,pep_progress_thread,job_id,objective,timestamp_submit,timestamp_gather,timestamp_start,timestamp_end
True,6,5,8,18,4,fifo,True,False,5,264,8,False,38,False,False,6,853,32,True,1,-3.2891631699529142,0.04959273338317871,0.05758094787597656,0.04962873458862305,0.057460784912109375
True,1,13,10,49,2,fifo_wait,True,True,1,416,16,False,202,False,False,8,94,4,True,2,-3.3483899463589535,0.19402694702148438,0.2029109001159668,0.19406580924987793,0.20277881622314453
False,14,8,6,51,1,fifo_wait,True,False,4,421,8,True,10,False,False,6,14,4,True,3,-3.6274082992555323,0.3268117904663086,0.3351607322692871,0.32684779167175293,0.3350358009338379
True,7,10,9,59,1,fifo,False,True,14,1171,2,True,121,False,True,28,247,32,False,4,-4.623879389648617,0.4550907611846924,0.46288371086120605,0.4551277160644531,0.4627697467803955
True,16,9,17,38,4,fifo,False,True,19,126,2,True,22,True,False,5,611,16,False,5,-4.694584439202997,0.5833137035369873,0.591289758682251,0.5833508968353271,0.5911698341369629
True,5,14,12,15,32,fifo_wait,False,True,1,328,16,False,14,True,False,31,41,2,True,6,-4.649416936675242,0.7113277912139893,0.7195026874542236,0.7113637924194336,0.719383716583252
False,15,10,14,60,32,fifo_wait,False,False,25,467,8,False,466,False,False,24,505,2,False,7,-4.876534538885321,0.8553848266601562,0.863257646560669,0.8554198741912842,0.8631408214569092
True,2,9,25,12,1,fifo,False,True,12,72,8,False,91,False,True,4,21,16,False,8,-4.783754260603171,0.9825646877288818,0.9906308650970459,0.9826009273529053,0.9905097484588623
True,14,11,21,48,4,fifo_wait,True,True,62,24,8,False,25,False,False,8,9,2,True,9,-4.980798459470291,1.1098048686981201,1.117924690246582,1.1098408699035645,1.1178019046783447
True,4,5,30,62,4,fifo,False,True,3,107,4,False,39,True,True,20,202,32,False,10,-4.8197290442052685,1.2373697757720947,1.2451939582824707,1.2374048233032227,1.245079755783081
True,2,8,10,41,8,fifo,True,True,25,5,1,False,72,True,True,2,28,2,False,11,-5.717451332059289,1.3654389381408691,1.3733067512512207,1.3654818534851074,1.3731887340545654
True,4,12,10,38,16,fifo_wait,False,True,32,160,2,True,25,False,True,4,854,8,True,12,-4.354504077415858,1.5074307918548584,1.5154249668121338,1.5074727535247803,1.5152838230133057
False,6,7,16,8,32,fifo,False,True,20,1195,8,True,29,False,True,18,67,4,False,13,-4.619618778933947,1.6342828273773193,1.6421117782592773,1.6343247890472412,1.6419849395751953
True,11,9,26,16,8,fifo_wait,False,True,12,971,16,False,136,True,True,8,269,16,False,14,-4.504386505338694,1.7618637084960938,1.7700648307800293,1.7619047164916992,1.769932746887207
True,4,14,18,5,2,fifo_wait,False,False,1,270,8,True,584,False,True,5,115,16,True,15,-4.293371039601138,1.8893508911132812,1.8971757888793945,1.8893938064575195,1.8970448970794678
True,15,3,18,0,16,fifo,False,True,3,1472,2,False,130,True,True,30,783,4,False,16,-5.357818997247425,2.0315067768096924,2.0396769046783447,2.0315499305725098,2.039545774459839
False,14,16,7,20,4,fifo_wait,True,False,2,3,2,False,18,True,False,17,23,4,False,17,-5.487371686143835,2.1589057445526123,2.1669769287109375,2.158949851989746,2.166815996170044
True,11,4,6,34,16,fifo,False,False,2,1254,2,False,146,True,True,4,17,4,True,18,-4.7078405394994025,2.286630868911743,2.2945358753204346,2.286674737930298,2.2944047451019287
False,16,2,25,54,16,fifo_wait,True,False,6,595,1,True,10,False,True,28,336,1,True,19,-5.386385040905343,2.413541793823242,2.421677827835083,2.413583755493164,2.421548843383789
False,12,16,6,56,8,fifo,True,True,21,285,1,False,43,True,True,25,120,4,True,20,-5.213193673018409,2.540862798690796,2.548816680908203,2.5409047603607178,2.5486719608306885
False,1,7,24,46,1,fifo,True,True,13,2029,8,False,483,False,False,24,100,16,False,21,-4.200858701655399,2.6831648349761963,2.691096782684326,2.683206796646118,2.6909728050231934
False,6,11,9,2,1,fifo,False,True,7,2,4,False,456,False,True,4,1011,2,True,22,-5.631154543968614,2.8104376792907715,2.818368911743164,2.8104798793792725,2.818229913711548
True,12,8,16,33,32,fifo,True,False,15,22,4,False,12,True,False,7,206,32,True,23,-4.972926159003053,2.937797784805298,2.9455909729003906,2.937840700149536,2.9454667568206787
True,4,15,6,12,32,fifo,True,False,48,1357,1,True,846,False,False,28,177,32,True,24,-5.109699778171947,3.0647196769714355,3.072722911834717,3.064760684967041,3.0725948810577393
True,5,9,19,12,32,fifo,True,False,13,251,2,False,9,True,False,17,97,1,False,25,-5.383555234949205,3.208253860473633,3.2163867950439453,3.2082979679107666,3.216254949569702
True,10,7,24,61,1,fifo,True,True,26,1255,8,False,199,True,False,8,49,4,True,26,-4.966212736662575,3.3369457721710205,3.3448407649993896,3.3369877338409424,3.3447139263153076
False,10,8,24,28,2,fifo_wait,False,False,8,2,1,True,19,True,False,3,514,16,False,27,-5.702001188149732,3.463848829269409,3.4719958305358887,3.463890790939331,3.4718618392944336
True,12,7,15,63,32,fifo,True,False,17,8,16,True,159,False,True,17,156,1,False,28,-5.573807175148839,3.591275930404663,3.599076747894287,3.5913188457489014,3.5989348888397217
