busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_async,loader_async_threads,loader_batch_size,loader_pes_per_node,loader_progress_thread,pep_ibatch_size,pep_no_preloading,pep_no_rdma,pep_num_threads,pep_obatch_size,pep_pes_per_node,pep_progress_thread,job_id,objective,timestamp_submit,timestamp_gather,timestamp_start,timestamp_end
True,8,3,8,54,16,fifo,True,True,43,582,8,True,33,True,False,9,21,2,True,1,-4.448934939558744,0.07028889656066895,0.07828497886657715,0.07032608985900879,0.07816886901855469
False,10,8,6,42,8,fifo_wait,False,False,11,269,16,True,991,False,False,5,182,16,True,2,-2.9487099009523208,0.19904017448425293,0.20708417892456055,0.19907593727111816,0.20696210861206055
True,15,16,6,44,8,fifo,True,True,2,193,16,True,912,True,False,11,194,32,True,3,-4.465418003442953,0.3269200325012207,0.33484911918640137,0.32695508003234863,0.3347160816192627
True,14,2,19,46,8,fifo_wait,False,True,52,156,2,False,399,True,True,1,832,32,True,4,-4.655974618913346,0.45465826988220215,0.46254491806030273,0.45469188690185547,0.46242690086364746
True,3,14,1,59,8,fifo,True,True,2,179,4,False,70,True,True,9,206,2,True,5,-4.69442056165604,0.597750186920166,0.6060729026794434,0.5977849960327148,0.6059520244598389
True,4,12,26,14,2,fifo_wait,True,True,10,841,16,False,140,False,True,18,174,2,True,6,-4.798574866373398,0.7265071868896484,0.7345030307769775,0.7265429496765137,0.7343449592590332
False,7,9,26,61,32,fifo_wait,False,True,20,7,16,True,38,True,False,18,119,1,True,7,-5.058609610556963,0.8544220924377441,0.8625712394714355,0.8544600009918213,0.8624532222747803
True,1,1,30,18,4,fifo_wait,True,False,57,320,4,True,389,True,True,6,35,8,False,8,-4.9832297591059005,0.9820981025695801,0.9900429248809814,0.982133150100708,0.9899260997772217
False,11,16,30,44,2,fifo_wait,False,True,2,85,2,True,75,True,False,26,113,2,False,9,-5.212462382781415,1.111307144165039,1.1195049285888672,1.1113440990447998,1.1193749904632568
False,15,16,11,57,16,fifo_wait,False,False,6,26,2,True,453,False,False,27,29,8,False,10,-5.162078797031269,1.254051923751831,1.2621920108795166,1.2540900707244873,1.2620701789855957
False,11,2,12,43,8,fifo_wait,False,False,26,18,8,True,1024,False,False,7,1024,16,True,11,-4.982603602951936,1.8132309913635254,1.8213720321655273,1.8132801055908203,1.8212449550628662
False,13,6,2,42,1,fifo_wait,False,False,10,1232,4,True,1024,False,False,4,1024,8,False,12,-4.305902196050312,2.3979952335357666,2.4063031673431396,2.398042917251587,2.406177043914795
True,9,8,4,37,4,fifo_wait,False,False,12,198,16,True,1024,False,True,3,1024,32,True,13,-3.263349885372898,2.9674201011657715,2.975555896759033,2.9674699306488037,2.9754340648651123
False,10,13,14,28,16,fifo_wait,False,False,10,455,16,True,1024,False,True,3,1024,16,True,14,-3.3546649635206216,3.5394630432128906,3.547322988510132,3.539512872695923,3.5472021102905273
False,1,6,7,47,8,fifo,False,False,10,611,16,True,1024,False,True,8,1024,16,True,15,-3.2251442471421408,4.122321128845215,4.130273103713989,4.122370958328247,4.130147933959961
False,8,10,12,48,8,fifo_wait,False,False,10,334,16,True,1024,False,False,3,1024,8,True,16,-3.2740520084298463,4.696332216262817,4.704471111297607,4.696379899978638,4.7043421268463135
False,2,1,4,3,8,fifo,False,False,11,206,16,True,1024,False,True,2,1024,32,False,17,-4.231809843509766,5.291346073150635,5.29939603805542,5.291395902633667,5.299271106719971
False,5,13,13,56,16,fifo_wait,False,False,20,817,16,True,1024,False,False,6,1024,16,True,18,-3.428989587393981,5.875202894210815,5.883125066757202,5.87525200843811,5.883002996444702
False,3,14,10,37,8,fifo_wait,False,False,10,1307,16,True,1024,False,False,5,1024,8,True,19,-3.3862157044395524,6.47503399848938,6.483035087585449,6.475084066390991,6.482917070388794
False,8,9,13,56,4,fifo_wait,True,False,10,10,16,True,1024,False,False,1,1024,8,True,20,-5.140512311803283,7.0556960105896,7.0637290477752686,7.055746078491211,7.063611030578613
False,14,12,4,41,32,fifo_wait,False,False,21,10,16,True,1024,False,False,16,1024,8,False,21,-5.006622417938396,7.659096956253052,7.666966199874878,7.65914511680603,7.666842937469482
False,11,6,4,51,2,fifo_wait,False,False,10,48,16,True,1024,False,True,3,1024,4,True,22,-3.931102160621087,8.241742849349976,8.249520063400269,8.241793155670166,8.249397039413452
True,9,8,11,43,4,fifo_wait,False,False,10,1832,16,True,1024,False,True,2,1024,16,True,23,-3.1987942418039763,8.830839157104492,8.838844060897827,8.830888032913208,8.838722229003906
False,14,9,8,43,16,fifo_wait,True,False,10,308,16,True,1024,False,False,13,1024,16,True,24,-3.3680590069543728,9.43738603591919,9.445428133010864,9.437434911727905,9.445310115814209
True,5,3,9,36,4,fifo_wait,False,False,10,178,16,True,1024,False,True,2,1024,16,True,25,-3.1521050742144943,10.036300897598267,10.044184923171997,10.036350011825562,10.04405689239502
False,6,5,11,49,32,fifo_wait,False,False,10,366,8,True,1024,False,False,3,1024,32,True,26,-3.2845107872992125,10.646165132522583,10.654495000839233,10.646214008331299,10.654369115829468
False,12,12,11,44,32,fifo_wait,False,False,10,74,16,True,1024,False,False,17,1024,16,True,27,-3.728174764521162,11.247323036193848,11.255669116973877,11.247372150421143,11.255545854568481
True,6,9,11,52,8,fifo_wait,False,False,10,1263,8,True,1024,False,False,6,1024,16,True,28,-3.3034839176948063,11.859007120132446,11.867138862609863,11.859056949615479,11.866979837417603
False,4,4,1,40,8,fifo_wait,False,False,10,679,4,True,1024,False,False,27,1024,16,True,29,-4.178385104407976,12.455118894577026,12.463151931762695,12.455169200897217,12.463030099868774
False,11,11,6,37,16,fifo_wait,False,False,10,1028,16,False,1024,False,False,4,1024,16,True,30,-3.3136803419347567,13.076193809509277,13.084214210510254,13.076243162155151,13.084094047546387
True,5,8,12,60,32,fifo_wait,False,False,10,301,2,True,1024,False,True,7,1024,4,True,31,-4.769405976019693,13.677173137664795,13.685206174850464,13.67722201347351,13.685075998306274
False,14,4,18,52,4,fifo_wait,True,False,10,368,16,True,1024,False,False,3,1024,16,True,32,-3.3269095946659704,14.273835182189941,14.281702041625977,14.273884057998657,14.281580924987793
