,number,objective,datetime_start,datetime_complete,duration,params_busy_spin,params_hepnos_num_event_databases,params_hepnos_num_product_databases,params_hepnos_num_providers,params_hepnos_num_rpc_threads,params_hepnos_pes_per_node,params_hepnos_pool_type,params_hepnos_progress_thread,params_loader_async,params_loader_async_threads,params_loader_batch_size,params_loader_pes_per_node,params_loader_progress_thread,params_pep_ibatch_size,params_pep_no_preloading,params_pep_no_rdma,params_pep_num_threads,params_pep_obatch_size,params_pep_pes_per_node,params_pep_progress_thread,system_attrs_fixed_params,state
0,0,3.2891631699529142,2022-04-29 11:35:10.480119,2022-04-29 11:35:10.488173,0 days 00:00:00.008054,True,6,5,8,18,4,fifo,True,False,5,264,8,False,38,False,False,6,853,32,True,"{'busy_spin': True, 'hepnos_num_event_databases': 6, 'hepnos_num_product_databases': 5, 'hepnos_num_providers': 8, 'hepnos_num_rpc_threads': 18, 'hepnos_pes_per_node': 4, 'hepnos_pool_type': 'fifo', 'hepnos_progress_thread': True, 'loader_async': False, 'loader_async_threads': 5, 'loader_batch_size': 264, 'loader_pes_per_node': 8, 'loader_progress_thread': False, 'pep_ibatch_size': 38, 'pep_no_preloading': False, 'pep_no_rdma': False, 'pep_num_threads': 6, 'pep_obatch_size': 853, 'pep_pes_per_node': 32, 'pep_progress_thread': True}",COMPLETE
1,1,3.3483899463589535,2022-04-29 11:35:10.488685,2022-04-29 11:35:10.496809,0 days 00:00:00.008124,True,1,13,10,49,2,fifo_wait,True,True,1,416,16,False,202,False,False,8,94,4,True,"{'busy_spin': True, 'hepnos_num_event_databases': 1, 'hepnos_num_product_databases': 13, 'hepnos_num_providers': 10, 'hepnos_num_rpc_threads': 49, 'hepnos_pes_per_node': 2, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': True, 'loader_async': True, 'loader_async_threads': 1, 'loader_batch_size': 416, 'loader_pes_per_node': 16, 'loader_progress_thread': False, 'pep_ibatch_size': 202, 'pep_no_preloading': False, 'pep_no_rdma': False, 'pep_num_threads': 8, 'pep_obatch_size': 94, 'pep_pes_per_node': 4, 'pep_progress_thread': True}",COMPLETE
2,2,3.6274082992555323,2022-04-29 11:35:10.497353,2022-04-29 11:35:10.505728,0 days 00:00:00.008375,False,14,8,6,51,1,fifo_wait,True,False,4,421,8,True,10,False,False,6,14,4,True,"{'busy_spin': False, 'hepnos_num_event_databases': 14, 'hepnos_num_product_databases': 8, 'hepnos_num_providers': 6, 'hepnos_num_rpc_threads': 51, 'hepnos_pes_per_node': 1, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': True, 'loader_async': False, 'loader_async_threads': 4, 'loader_batch_size': 421, 'loader_pes_per_node': 8, 'loader_progress_thread': True, 'pep_ibatch_size': 10, 'pep_no_preloading': False, 'pep_no_rdma': False, 'pep_num_threads': 6, 'pep_obatch_size': 14, 'pep_pes_per_node': 4, 'pep_progress_thread': True}",COMPLETE
3,3,4.623879389648617,2022-04-29 11:35:10.506279,2022-04-29 11:35:10.513916,0 days 00:00:00.007637,True,7,10,9,59,1,fifo,False,True,14,1171,2,True,121,False,True,28,247,32,False,"{'busy_spin': True, 'hepnos_num_event_databases': 7, 'hepnos_num_product_databases': 10, 'hepnos_num_providers': 9, 'hepnos_num_rpc_threads': 59, 'hepnos_pes_per_node': 1, 'hepnos_pool_type': 'fifo', 'hepnos_progress_thread': False, 'loader_async': True, 'loader_async_threads': 14, 'loader_batch_size': 1171, 'loader_pes_per_node': 2, 'loader_progress_thread': True, 'pep_ibatch_size': 121, 'pep_no_preloading': False, 'pep_no_rdma': True, 'pep_num_threads': 28, 'pep_obatch_size': 247, 'pep_pes_per_node': 32, 'pep_progress_thread': False}",COMPLETE
4,4,4.694584439202997,2022-04-29 11:35:10.514436,2022-04-29 11:35:10.522090,0 days 00:00:00.007654,True,16,9,17,38,4,fifo,False,True,19,126,2,True,22,True,False,5,611,16,False,"{'busy_spin': True, 'hepnos_num_event_databases': 16, 'hepnos_num_product_databases': 9, 'hepnos_num_providers': 17, 'hepnos_num_rpc_threads': 38, 'hepnos_pes_per_node': 4, 'hepnos_pool_type': 'fifo', 'hepnos_progress_thread': False, 'loader_async': True, 'loader_async_threads': 19, 'loader_batch_size': 126, 'loader_pes_per_node': 2, 'loader_progress_thread': True, 'pep_ibatch_size': 22, 'pep_no_preloading': True, 'pep_no_rdma': False, 'pep_num_threads': 5, 'pep_obatch_size': 611, 'pep_pes_per_node': 16, 'pep_progress_thread': False}",COMPLETE
5,5,4.649416936675242,2022-04-29 11:35:10.522602,2022-04-29 11:35:10.530523,0 days 00:00:00.007921,True,5,14,12,15,32,fifo_wait,False,True,1,328,16,False,14,True,False,31,41,2,True,"{'busy_spin': True, 'hepnos_num_event_databases': 5, 'hepnos_num_product_databases': 14, 'hepnos_num_providers': 12, 'hepnos_num_rpc_threads': 15, 'hepnos_pes_per_node': 32, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': False, 'loader_async': True, 'loader_async_threads': 1, 'loader_batch_size': 328, 'loader_pes_per_node': 16, 'loader_progress_thread': False, 'pep_ibatch_size': 14, 'pep_no_preloading': True, 'pep_no_rdma': False, 'pep_num_threads': 31, 'pep_obatch_size': 41, 'pep_pes_per_node': 2, 'pep_progress_thread': True}",COMPLETE
6,6,4.876534538885321,2022-04-29 11:35:10.531064,2022-04-29 11:35:10.539454,0 days 00:00:00.008390,False,15,10,14,60,32,fifo_wait,False,False,25,467,8,False,466,False,False,24,505,2,False,"{'busy_spin': False, 'hepnos_num_event_databases': 15, 'hepnos_num_product_databases': 10, 'hepnos_num_providers': 14, 'hepnos_num_rpc_threads': 60, 'hepnos_pes_per_node': 32, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': False, 'loader_async': False, 'loader_async_threads': 25, 'loader_batch_size': 467, 'loader_pes_per_node': 8, 'loader_progress_thread': False, 'pep_ibatch_size': 466, 'pep_no_preloading': False, 'pep_no_rdma': False, 'pep_num_threads': 24, 'pep_obatch_size': 505, 'pep_pes_per_node': 2, 'pep_progress_thread': False}",COMPLETE
7,7,4.783754260603171,2022-04-29 11:35:10.539989,2022-04-29 11:35:10.547592,0 days 00:00:00.007603,True,2,9,25,12,1,fifo,False,True,12,72,8,False,91,False,True,4,21,16,False,"{'busy_spin': True, 'hepnos_num_event_databases': 2, 'hepnos_num_product_databases': 9, 'hepnos_num_providers': 25, 'hepnos_num_rpc_threads': 12, 'hepnos_pes_per_node': 1, 'hepnos_pool_type': 'fifo', 'hepnos_progress_thread': False, 'loader_async': True, 'loader_async_threads': 12, 'loader_batch_size': 72, 'loader_pes_per_node': 8, 'loader_progress_thread': False, 'pep_ibatch_size': 91, 'pep_no_preloading': False, 'pep_no_rdma': True, 'pep_num_threads': 4, 'pep_obatch_size': 21, 'pep_pes_per_node': 16, 'pep_progress_thread': False}",COMPLETE
8,8,4.980798459470291,2022-04-29 11:35:10.548103,2022-04-29 11:35:10.555733,0 days 00:00:00.007630,True,14,11,21,48,4,fifo_wait,True,True,62,24,8,False,25,False,False,8,9,2,True,"{'busy_spin': True, 'hepnos_num_event_databases': 14, 'hepnos_num_product_databases': 11, 'hepnos_num_providers': 21, 'hepnos_num_rpc_threads': 48, 'hepnos_pes_per_node': 4, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': True, 'loader_async': True, 'loader_async_threads': 62, 'loader_batch_size': 24, 'loader_pes_per_node': 8, 'loader_progress_thread': False, 'pep_ibatch_size': 25, 'pep_no_preloading': False, 'pep_no_rdma': False, 'pep_num_threads': 8, 'pep_obatch_size': 9, 'pep_pes_per_node': 2, 'pep_progress_thread': True}",COMPLETE
9,9,4.8197290442052685,2022-04-29 11:35:10.556243,2022-04-29 11:35:10.564244,0 days 00:00:00.008001,True,4,5,30,62,4,fifo,False,True,3,107,4,False,39,True,True,20,202,32,False,"{'busy_spin': True, 'hepnos_num_event_databases': 4, 'hepnos_num_product_databases': 5, 'hepnos_num_providers': 30, 'hepnos_num_rpc_threads': 62, 'hepnos_pes_per_node': 4, 'hepnos_pool_type': 'fifo', 'hepnos_progress_thread': False, 'loader_async': True, 'loader_async_threads': 3, 'loader_batch_size': 107, 'loader_pes_per_node': 4, 'loader_progress_thread': False, 'pep_ibatch_size': 39, 'pep_no_preloading': True, 'pep_no_rdma': True, 'pep_num_threads': 20, 'pep_obatch_size': 202, 'pep_pes_per_node': 32, 'pep_progress_thread': False}",COMPLETE
