Nodes_16,Input_2000,ScatteringOrder_l0,DRAMPowerPerNode,ProcessorPowerPerNode,Ranks,Nesting_DGZ,Nesting_DZG,Nesting_GDZ,Nesting_GZD,Nesting_ZDG,Nesting_ZGD,Layout_0,Dset,Gset,Method_sweep,OMP,PKG_LIMIT,DRAM_LIMIT,AvgInst,AvgIpc,AvgArithFpu,AvgFreq,AvgTemp,ProcessorPower,DRAMPower,ExecTime,Input_12000,ScatteringOrder_l9,Nodes_64,Energy
1,1,1,34.7962125,113.7984188,32,1,0,0,0,0,0,1,8,4,1,4,65,0,50316458690,5.3332,612334791.3,2.7098,34.8142,1820.7747,556.7394,4.0047,0,0,0,9521.230716
1,1,1,35.4739,117.0390313,32,1,0,0,0,0,0,1,8,4,1,4,70,0,48596049987,5.6316,611725777,2.7747,35.5008,1872.6245,567.5824,3.6043,0,0,0,8795.23773
1,1,1,35.42324375,119.3743313,32,1,0,0,0,0,0,1,8,4,1,4,75,0,48613523351,5.6336,611482029.7,2.7967,37.3865,1909.9893,566.7719,3.6042,0,0,0,8926.742717
1,1,1,35.5381125,119.3599938,32,1,0,0,0,0,0,1,8,4,1,4,80,0,48883110513,5.6649,611690660.9,2.801,36.6801,1909.7599,568.6098,3.6042,0,0,0,8932.540073
1,1,1,34.5775625,117.7737438,32,1,0,0,0,0,0,1,8,4,1,4,85,0,50849355646,5.3389,611461926,2.8,36.2455,1884.3799,553.241,4.0046,0,0,0,9761.696656
1,1,1,35.39995,120.0708063,32,1,0,0,0,0,0,1,8,4,1,4,90,0,49013865511,5.6613,611862082.4,2.8,38.1907,1921.1329,566.3992,3.6042,0,0,0,8965.563195
1,1,1,35.3636125,119.5630813,32,1,0,0,0,0,0,1,8,4,1,4,95,0,48721702188,5.6462,611641938.9,2.8006,38.4013,1913.0093,565.8178,3.6042,0,0,0,8934.188634
1,1,1,35.441625,119.276825,32,1,0,0,0,0,0,1,8,4,1,4,100,0,48700095627,5.6437,611486573.1,2.8,35.7344,1908.4292,567.066,3.6043,0,0,0,8922.427349
1,1,1,32.3816125,85.79456875,32,1,0,0,0,0,0,1,8,8,1,4,50,0,63212681686,4.2379,613568349.7,2.0497,33.3926,1372.7131,518.1058,6.227,0,0,0,11774.12929
1,1,1,33.17251875,95.2308625,32,1,0,0,0,0,0,1,8,8,1,4,55,0,61842619970,4.7529,612974839.6,2.3449,31.9973,1523.6938,530.7603,5.4177,0,0,0,11130.41598
1,1,1,33.5076375,104.3470813,32,1,0,0,0,0,0,1,8,8,1,4,60,0,62436419913,5.2052,613201207.1,2.5098,34.6719,1669.5533,536.1222,5.0076,0,0,0,11045.14063
1,1,1,34.545975,113.99885,32,1,0,0,0,0,0,1,8,8,1,4,65,0,56254094048,5.5863,612008483.6,2.7197,34.8885,1823.9816,552.7356,4.2049,0,0,0,9993.858154
1,1,1,35.2029875,117.0334563,32,1,0,0,0,0,0,1,8,8,1,4,70,0,52608384948,5.7758,610964558.1,2.78,35.4883,1872.5353,563.2478,3.8043,0,0,0,9266.449647
1,1,1,35.13639375,119.7137,32,1,0,0,0,0,0,1,8,8,1,4,75,0,52875680080,5.8052,611297071.4,2.7969,37.1109,1915.4192,562.1823,3.8044,0,0,0,9425.787147
1,1,1,35.1555875,119.1959375,32,1,0,0,0,0,0,1,8,8,1,4,80,0,53071564022,5.8266,611028705.5,2.8,36.5977,1907.135,562.4894,3.8045,0,0,0,9395.68603
1,1,1,35.193875,119.3542875,32,1,0,0,0,0,0,1,8,8,1,4,85,0,53010049866,5.8199,610976138.6,2.8,36.4578,1909.6686,563.102,3.8043,0,0,0,9407.161194
1,1,1,35.12175,120.1806875,32,1,0,0,0,0,0,1,8,8,1,4,90,0,53039139312,5.8231,611100115.8,2.8002,37.9102,1922.891,561.948,3.8044,0,0,0,9453.321492
1,1,1,35.0432,119.8939813,32,1,0,0,0,0,0,1,8,8,1,4,95,0,53045885920,5.8239,610992208.9,2.8002,38.0219,1918.3037,560.6912,3.8044,0,0,0,9431.088198
1,1,1,35.1769,119.6201938,32,1,0,0,0,0,0,1,8,8,1,4,100,0,53310968875,5.853,611453923.1,2.8003,36.4398,1913.9231,562.8304,3.8044,0,0,0,9422.561015
1,1,1,31.94208125,87.7527,32,1,0,0,0,0,0,1,8,16,1,4,50,0,73045622789,4.4662,613140201.9,2.1183,33.5219,1404.0432,511.0733,6.8209,0,0,0,13062.81813
1,1,1,32.6346125,97.16931875,32,1,0,0,0,0,0,1,8,16,1,4,55,0,72737611387,4.9549,613178553.4,2.3614,32.3415,1554.7091,522.1538,6.2088,0,0,0,12894.82637
1,1,1,33.0564875,106.8451813,32,1,0,0,0,0,0,1,8,16,1,4,60,0,69964757507,5.403,612547863.2,2.5376,34.9939,1709.5229,528.9038,5.4067,0,0,0,12102.50164
1,1,1,34.06633125,115.1595125,32,1,0,0,0,0,0,1,8,16,1,4,65,0,64029997470,5.8061,611926489.4,2.7332,35.2331,1842.5522,545.0613,4.6055,0,0,0,10996.15397
1,1,1,34.24404375,118.127475,32,1,0,0,0,0,0,1,8,16,1,4,70,0,62276778577,5.905,611423216.6,2.7847,35.6712,1890.0396,547.9047,4.405,0,0,0,10739.14464
1,1,1,34.457725,120.3799375,32,1,0,0,0,0,0,1,8,16,1,4,75,0,60583451287,6.018,611294043,2.7984,37.3736,1926.079,551.3236,4.2048,0,0,0,10416.98245
1,1,1,34.180225,119.9015438,32,1,0,0,0,0,0,1,8,16,1,4,80,0,62608094816,5.9204,611393619.1,2.8,36.7632,1918.4247,546.8836,4.4051,0,0,0,10859.92959
1,1,1,34.2843875,120.1316,32,1,0,0,0,0,0,1,8,16,1,4,85,0,62777508590,5.9525,611612550.1,2.8008,36.5842,1922.1056,548.5502,4.4052,0,0,0,10883.73293
1,1,1,34.080425,119.7625188,32,1,0,0,0,0,0,1,8,16,1,4,90,0,60729917254,5.8096,611261859.4,2.8,37.8895,1916.2003,545.2868,4.405,0,0,0,10842.85068
1,1,1,34.37864375,120.175375,32,1,0,0,0,0,0,1,8,16,1,4,95,0,60584686360,6.0181,611394807.4,2.8001,38.1051,1922.806,550.0583,4.2048,0,0,0,10397.89981
1,1,1,34.136925,119.9698938,32,1,0,0,0,0,0,1,8,16,1,4,100,0,62876768813,5.9618,611548707.9,2.8,36.7928,1919.5183,546.1908,4.4051,0,0,0,10861.69516
1,1,1,31.17349375,90.8359875,32,1,0,0,0,0,0,1,8,32,1,4,50,0,98334661452,4.6513,614683456.3,2.2186,33.9323,1453.3758,498.7759,8.819,0,0,0,17216.02584
1,1,1,31.76360625,100.3344313,32,1,0,0,0,0,0,1,8,32,1,4,55,0,98527379422,5.1334,614519611.7,2.447,33.0137,1605.3509,508.2177,8.0186,0,0,0,16947.86118
1,1,1,31.9187,108.3548063,32,1,0,0,0,0,0,1,8,32,1,4,60,0,92531377379,5.3872,613963797.3,2.6025,35.3525,1733.6769,510.6992,7.2084,0,0,0,16178.36068
1,1,1,32.58095,116.8119813,32,1,0,0,0,0,0,1,8,32,1,4,65,0,88798401364,5.7884,613718378.9,2.7507,35.7661,1868.9917,521.2952,6.4072,0,0,0,15315.04623
1,1,1,32.85710625,119.8730688,32,1,0,0,0,0,0,1,8,32,1,4,70,0,84812564849,5.8975,613297390.8,2.7916,36.1613,1917.9691,525.7137,6.0067,0,0,0,14678.46947
1,1,1,32.73634375,120.7383,32,1,0,0,0,0,0,1,8,32,1,4,75,0,84767212088,5.8943,613221970.9,2.7997,37.6996,1931.8128,523.7815,6.0069,0,0,0,14750.5094
1,1,1,32.76798125,120.7187375,32,1,0,0,0,0,0,1,8,32,1,4,80,0,85220964382,5.9259,613359268.3,2.8004,37.058,1931.4998,524.2877,6.0071,0,0,0,14752.16109
1,1,1,32.7475375,119.805525,32,1,0,0,0,0,0,1,8,32,1,4,85,0,85054918948,5.7948,613216581.2,2.8012,36.895,1916.8884,523.9606,6.2069,0,0,0,15150.10566
