gratio,rhorx,rhory,rhohx,rhohy,rhoratio,sgrain,ortho,ExecTime
1.28,8,8,20,35,1,64,16,2.07461
1.28,8,8,20,35,1,64,32,2.04601
1.28,8,8,20,35,1,128,16,3.07298
1.28,8,8,20,35,1,128,32,2.62969
1.28,8,8,20,35,2,32,16,1.83307
1.28,8,8,20,35,2,32,32,1.90284
1.28,8,8,20,35,2,64,16,2.08761
1.28,8,8,20,35,2,64,32,2.02218
1.28,8,8,20,35,2,128,16,3.08761
1.28,8,8,20,35,2,128,32,2.58291
1.28,8,8,20,70,0.5,32,16,1.99067
1.28,8,8,20,70,0.5,32,32,2.06968
1.28,8,8,20,70,0.5,64,16,2.15549
1.28,8,8,20,70,0.5,64,32,2.11353
1.28,8,8,20,70,0.5,128,16,3.13638
1.28,8,8,20,70,0.5,128,32,2.6784
1.28,8,8,20,70,1,32,16,1.93837
1.28,8,8,20,70,1,32,32,1.99334
1.28,8,8,20,70,1,64,16,2.12101
1.28,8,8,20,70,1,64,32,2.08191
1.28,8,8,20,70,1,128,16,3.15849
1.28,8,8,20,70,1,128,32,2.66802
1.28,8,8,20,70,2,32,16,1.90218
1.28,8,8,20,70,2,32,32,1.97602
1.28,8,8,20,70,2,64,16,2.11559
1.28,8,8,20,70,2,64,32,2.07083
1.28,8,8,20,70,2,128,16,3.1469
1.28,8,8,20,70,2,128,32,2.63701
1.28,8,8,35,10,0.5,32,16,1.98751
1.28,8,8,35,10,0.5,32,32,2.0092
1.28,8,8,35,10,0.5,64,16,2.17742
1.28,8,8,35,10,0.5,64,32,2.18023
1.28,8,8,35,10,0.5,128,16,3.15573
1.28,8,8,35,10,0.5,128,32,2.67144
1.28,8,8,35,10,1,32,16,1.86727
1.28,8,8,35,10,1,32,32,1.89612
1.28,8,8,35,10,1,64,16,2.07594
1.28,8,8,35,10,1,64,32,2.03006
1.28,8,8,35,10,1,128,16,3.1426
1.28,8,8,35,10,1,128,32,2.61716
1.28,8,8,35,10,2,32,16,1.83679
1.28,8,8,35,10,2,32,32,1.85254
1.28,8,8,35,10,2,64,16,2.08487
1.28,8,8,35,10,2,64,32,1.99326
1.28,8,8,35,10,2,128,16,3.09973
1.28,8,8,35,10,2,128,32,2.62466
1.28,8,8,35,20,0.5,32,16,1.91975
1.28,8,8,35,20,0.5,32,32,2.00063
1.28,8,8,35,20,0.5,64,16,2.19614
1.28,8,8,35,20,0.5,64,32,2.16604
1.28,8,8,35,20,0.5,128,16,3.15789
1.28,8,8,35,20,0.5,128,32,2.68173
1.28,8,8,35,20,1,32,16,1.90414
1.28,8,8,35,20,1,32,32,1.89099
1.28,8,8,35,20,1,64,16,2.05067
1.28,8,8,35,20,1,64,32,2.04956
1.28,8,8,35,20,1,128,16,3.13743
1.28,8,8,35,20,1,128,32,2.6222
1.28,8,8,35,20,2,32,16,1.81886
1.28,8,8,35,20,2,32,32,1.88661
1.28,8,8,35,20,2,64,16,2.05627
1.28,8,8,35,20,2,64,32,2.00534
1.28,8,8,35,20,2,128,16,3.11326
1.28,8,8,35,20,2,128,32,2.57728
1.28,8,8,35,35,0.5,32,16,1.98648
1.28,8,8,35,35,0.5,32,32,1.9929
1.28,8,8,35,35,0.5,64,16,2.16458
1.28,8,8,35,35,0.5,64,32,2.11959
1.28,8,8,35,35,0.5,128,16,3.19739
1.28,8,8,35,35,0.5,128,32,2.68939
1.28,8,8,35,35,1,32,16,1.89804
1.28,8,8,35,35,1,32,32,1.93764
1.28,8,8,35,35,1,64,16,2.10014
1.28,8,8,35,35,1,64,32,2.07411
1.28,8,8,35,35,1,128,16,3.18248
1.28,8,8,35,35,1,128,32,2.67417
1.28,8,8,35,35,2,32,16,1.88221
1.28,8,8,35,35,2,32,32,1.95987
1.28,8,8,35,35,2,64,16,2.07587
1.28,8,8,35,35,2,64,32,2.05672
1.28,8,8,35,35,2,128,16,3.11614
1.28,8,8,35,35,2,128,32,2.60751
1.28,8,8,35,70,0.5,32,16,2.29758
1.28,8,8,35,70,0.5,32,32,2.29476
1.28,8,8,35,70,0.5,64,16,2.5097
1.28,8,8,35,70,0.5,64,32,2.41805
1.28,8,8,35,70,0.5,128,16,3.51594
1.28,8,8,35,70,0.5,128,32,2.95852
1.28,8,8,35,70,1,32,16,2.28173
1.28,8,8,35,70,1,32,32,2.34701
1.28,8,8,35,70,1,64,16,2.43276
1.28,8,8,35,70,1,64,32,2.39266
1.28,8,8,35,70,1,128,16,3.4468
1.28,8,8,35,70,1,128,32,2.96168
1.28,8,8,35,70,2,32,16,2.42279
1.28,8,8,35,70,2,32,32,2.46703
1.28,8,8,35,70,2,64,16,2.63612
1.28,8,8,35,70,2,64,32,2.58236
1.28,8,8,35,70,2,128,16,3.61816
1.28,8,8,35,70,2,128,32,3.12453
1.28,8,8,70,10,0.5,32,16,1.95801
1.28,8,8,70,10,0.5,32,32,1.95933
1.28,8,8,70,10,0.5,64,16,2.16628
1.28,8,8,70,10,0.5,64,32,2.12174
1.28,8,8,70,10,0.5,128,16,3.1604
1.28,8,8,70,10,0.5,128,32,2.70621
1.28,8,8,70,10,1,32,16,1.89615
1.28,8,8,70,10,1,32,32,1.9037
1.28,8,8,70,10,1,64,16,2.08109
1.28,8,8,70,10,1,64,32,2.05949
1.28,8,8,70,10,1,128,16,3.11088
1.28,8,8,70,10,1,128,32,2.62474
1.28,8,8,70,10,2,32,16,1.85442
1.28,8,8,70,10,2,32,32,1.88097
1.28,8,8,70,10,2,64,16,2.05935
1.28,8,8,70,10,2,64,32,2.025
1.28,8,8,70,10,2,128,16,3.11449
1.28,8,8,70,10,2,128,32,2.59084
1.28,8,8,70,20,0.5,32,16,1.96908
1.28,8,8,70,20,0.5,32,32,2.07396
1.28,8,8,70,20,0.5,64,16,2.22319
1.28,8,8,70,20,0.5,64,32,2.20439
1.28,8,8,70,20,0.5,128,16,3.22749
1.28,8,8,70,20,0.5,128,32,2.69555
1.28,8,8,70,20,1,32,16,1.93312
1.28,8,8,70,20,1,32,32,1.9427
1.28,8,8,70,20,1,64,16,2.13334
1.28,8,8,70,20,1,64,32,2.09109
1.28,8,8,70,20,1,128,16,3.15668
1.28,8,8,70,20,1,128,32,2.67617
1.28,8,8,70,20,2,32,16,1.89158
1.28,8,8,70,20,2,32,32,1.93275
1.28,8,8,70,20,2,64,16,2.11838
1.28,8,8,70,20,2,64,32,2.09298
1.28,8,8,70,20,2,128,16,3.16946
1.28,8,8,70,20,2,128,32,2.6409
1.28,8,8,70,35,0.5,32,16,2.52896
1.28,8,8,70,35,0.5,32,32,2.4674
1.28,8,8,70,35,0.5,64,16,2.64877
1.28,8,8,70,35,0.5,64,32,2.6626
1.28,8,8,70,35,0.5,128,16,3.7363
1.28,8,8,70,35,0.5,128,32,3.16492
1.28,8,8,70,35,1,32,16,2.44283
1.28,8,8,70,35,1,32,32,2.45953
1.28,8,8,70,35,1,64,16,2.62915
1.28,8,8,70,35,1,64,32,2.57925
1.28,8,8,70,35,1,128,16,3.47674
1.28,8,8,70,35,1,128,32,3.12114
1.28,8,8,70,35,2,32,16,2.65055
1.28,8,8,70,35,2,32,32,2.69242
1.28,8,8,70,35,2,64,16,2.84108
1.28,8,8,70,35,2,64,32,2.83396
1.28,8,8,70,35,2,128,16,3.85555
1.28,8,8,70,35,2,128,32,3.37969
1.28,8,8,70,70,0.5,32,16,2.57625
1.28,8,8,70,70,0.5,32,32,2.53446
1.28,8,8,70,70,0.5,64,16,2.71461
1.28,8,8,70,70,0.5,64,32,2.67778
1.28,8,8,70,70,0.5,128,16,3.72665
1.28,8,8,70,70,0.5,128,32,3.27727
1.28,8,8,70,70,1,32,16,2.78403
1.28,8,8,70,70,1,32,32,3.05408
1.28,8,8,70,70,1,64,16,2.94698
1.28,8,8,70,70,1,64,32,2.97973
1.28,8,8,70,70,1,128,16,3.94259
1.28,8,8,70,70,1,128,32,3.61719
1.28,8,8,70,70,2,32,16,3.25009
1.28,8,8,70,70,2,32,32,3.33232
1.28,8,8,70,70,2,64,16,3.48281
1.28,8,8,70,70,2,64,32,3.42787
1.28,8,8,70,70,2,128,16,4.45693
1.28,8,8,70,70,2,128,32,4.04597
1.28,8,16,10,10,0.5,32,16,1.5777
1.28,8,16,10,10,0.5,32,32,1.64494
1.28,8,16,10,10,0.5,64,16,1.78683
1.28,8,16,10,10,0.5,64,32,1.77173
1.28,8,16,10,10,0.5,128,16,2.77448
1.28,8,16,10,10,0.5,128,32,2.27849
1.28,8,16,10,10,1,32,16,1.48909
1.28,8,16,10,10,1,32,32,1.51166
1.28,8,16,10,10,1,64,16,1.66389
1.28,8,16,10,10,1,64,32,1.63546
1.28,8,16,10,10,1,128,16,2.72946
1.28,8,16,10,10,1,128,32,2.22763
1.28,8,16,10,10,2,32,16,1.40434
1.28,8,16,10,10,2,32,32,1.44908
1.28,8,16,10,10,2,64,16,1.59022
1.28,8,16,10,10,2,64,32,1.60158
1.28,8,16,10,10,2,128,16,2.63672
1.28,8,16,10,10,2,128,32,2.1521
1.28,8,16,10,20,0.5,32,16,1.57636
1.28,8,16,10,20,0.5,32,32,1.62024
1.28,8,16,10,20,0.5,64,16,1.78487
1.28,8,16,10,20,0.5,64,32,1.77512
1.28,8,16,10,20,0.5,128,16,2.7978
1.28,8,16,10,20,0.5,128,32,2.31419
1.28,8,16,10,20,1,32,16,1.47057
1.28,8,16,10,20,1,32,32,1.5021
1.28,8,16,10,20,1,64,16,1.66562
1.28,8,16,10,20,1,64,32,1.64121
1.28,8,16,10,20,1,128,16,2.74803
1.28,8,16,10,20,1,128,32,2.23144
1.28,8,16,10,20,2,32,16,1.42622
1.28,8,16,10,20,2,32,32,1.47613
1.28,8,16,10,20,2,64,16,1.62113
1.28,8,16,10,20,2,64,32,1.58883
1.28,8,16,10,20,2,128,16,2.65739
1.28,8,16,10,20,2,128,32,2.15115
1.28,8,16,10,35,0.5,32,16,1.60138
1.28,8,16,10,35,0.5,32,32,1.63075
1.28,8,16,10,35,0.5,64,16,1.77576
1.28,8,16,10,35,0.5,64,32,1.74877
1.28,8,16,10,35,0.5,128,16,2.77017
1.28,8,16,10,35,0.5,128,32,2.26549
1.28,8,16,10,35,1,32,16,1.46397
1.28,8,16,10,35,1,32,32,1.48541
1.28,8,16,10,35,1,64,16,1.69853
1.28,8,16,10,35,1,64,32,1.65279
1.28,8,16,10,35,1,128,16,2.68909
1.28,8,16,10,35,1,128,32,2.21392
1.28,8,16,10,35,2,32,16,1.41504
1.28,8,16,10,35,2,32,32,1.44777
1.28,8,16,10,35,2,64,16,1.62065
1.28,8,16,10,35,2,64,32,1.57684
1.28,8,16,10,35,2,128,16,2.65081
1.28,8,16,10,35,2,128,32,2.15039
1.28,8,16,10,70,0.5,32,16,1.59643
1.28,8,16,10,70,0.5,32,32,1.60845
1.28,8,16,10,70,0.5,64,16,1.76002
1.28,8,16,10,70,0.5,64,32,1.74405
1.28,8,16,10,70,0.5,128,16,2.77816
1.28,8,16,10,70,0.5,128,32,2.29983
1.28,8,16,10,70,1,32,16,1.49442
1.28,8,16,10,70,1,32,32,1.5019
1.28,8,16,10,70,1,64,16,1.68532
1.28,8,16,10,70,1,64,32,1.6653
1.28,8,16,10,70,1,128,16,2.71006
1.28,8,16,10,70,1,128,32,2.22477
1.28,8,16,10,70,2,32,16,1.43664
1.28,8,16,10,70,2,32,32,1.46149
1.28,8,16,10,70,2,64,16,1.6073
1.28,8,16,10,70,2,64,32,1.59225
1.28,8,16,10,70,2,128,16,2.63315
1.28,8,16,10,70,2,128,32,2.14581
1.28,8,16,20,10,0.5,32,16,1.5706
1.28,8,16,20,10,0.5,32,32,1.64273
1.28,8,16,20,10,0.5,64,16,1.79049
1.28,8,16,20,10,0.5,64,32,1.74758
1.28,8,16,20,10,0.5,128,16,2.77644
1.28,8,16,20,10,0.5,128,32,2.29767
1.28,8,16,20,10,1,32,16,1.49457
1.28,8,16,20,10,1,32,32,1.50078
1.28,8,16,20,10,1,64,16,1.70317
1.28,8,16,20,10,1,64,32,1.67536
1.28,8,16,20,10,1,128,16,2.72066
1.28,8,16,20,10,1,128,32,2.2239
1.28,8,16,20,10,2,32,16,1.43375
1.28,8,16,20,10,2,32,32,1.45697
1.28,8,16,20,10,2,64,16,1.62503
1.28,8,16,20,10,2,64,32,1.59257
1.28,8,16,20,10,2,128,16,2.65561
1.28,8,16,20,10,2,128,32,2.17312
1.28,8,16,20,20,0.5,32,16,1.6091
1.28,8,16,20,20,0.5,32,32,1.65138
1.28,8,16,20,20,0.5,64,16,1.80866
1.28,8,16,20,20,0.5,64,32,1.78929
1.28,8,16,20,20,0.5,128,16,2.80879
1.28,8,16,20,20,0.5,128,32,2.29014
1.28,8,16,20,20,1,32,16,1.50045
1.28,8,16,20,20,1,32,32,1.5281
1.28,8,16,20,20,1,64,16,1.69016
1.28,8,16,20,20,1,64,32,1.67193
1.28,8,16,20,20,1,128,16,2.6801
1.28,8,16,20,20,1,128,32,2.17626
1.28,8,16,20,20,2,32,16,1.42607
1.28,8,16,20,20,2,32,32,1.4587
1.28,8,16,20,20,2,64,16,1.60963
1.28,8,16,20,20,2,64,32,1.59258
1.28,8,16,20,20,2,128,16,2.64571
1.28,8,16,20,20,2,128,32,2.13513
1.28,8,16,20,35,0.5,32,16,1.57626
1.28,8,16,20,35,0.5,32,32,1.64084
1.28,8,16,20,35,0.5,64,16,1.80025
1.28,8,16,20,35,0.5,64,32,1.76275
1.28,8,16,20,35,0.5,128,16,2.79874
1.28,8,16,20,35,0.5,128,32,2.29599
1.28,8,16,20,35,1,32,16,1.48897
1.28,8,16,20,35,1,32,32,1.53389
1.28,8,16,20,35,1,64,16,1.71158
1.28,8,16,20,35,1,64,32,1.67547
1.28,8,16,20,35,1,128,16,2.6927
1.28,8,16,20,35,1,128,32,2.23865
1.28,8,16,20,35,2,32,16,1.43556
1.28,8,16,20,35,2,32,32,1.48496
1.28,8,16,20,35,2,64,16,1.63906
1.28,8,16,20,35,2,64,32,1.64393
1.28,8,16,20,35,2,128,16,2.66982
1.28,8,16,20,35,2,128,32,2.16733
1.28,8,16,20,70,0.5,32,16,1.57736
1.28,8,16,20,70,0.5,32,32,1.65602
1.28,8,16,20,70,0.5,64,16,1.78372
1.28,8,16,20,70,0.5,64,32,1.75416
1.28,8,16,20,70,0.5,128,16,2.79933
1.28,8,16,20,70,0.5,128,32,2.29686
1.28,8,16,20,70,1,32,16,1.55626
1.28,8,16,20,70,1,32,32,1.55116
1.28,8,16,20,70,1,64,16,1.71856
1.28,8,16,20,70,1,64,32,1.69753
1.28,8,16,20,70,1,128,16,2.70519
1.28,8,16,20,70,1,128,32,2.2929
1.28,8,16,20,70,2,32,16,1.5208
1.28,8,16,20,70,2,32,32,1.55859
1.28,8,16,20,70,2,64,16,1.71864
1.28,8,16,20,70,2,64,32,1.68268
1.28,8,16,20,70,2,128,16,2.72694
1.28,8,16,20,70,2,128,32,2.24273
1.28,8,16,35,10,0.5,32,16,1.59425
1.28,8,16,35,10,0.5,32,32,1.64298
1.28,8,16,35,10,0.5,64,16,1.78713
1.28,8,16,35,10,0.5,64,32,1.7574
1.28,8,16,35,10,0.5,128,16,2.78535
1.28,8,16,35,10,0.5,128,32,2.28961
1.28,8,16,35,10,1,32,16,1.46609
1.28,8,16,35,10,1,32,32,1.54146
1.28,8,16,35,10,1,64,16,1.66997
1.28,8,16,35,10,1,64,32,1.66798
1.28,8,16,35,10,1,128,16,2.69574
1.28,8,16,35,10,1,128,32,2.21033
1.28,8,16,35,10,2,32,16,1.40978
1.28,8,16,35,10,2,32,32,1.47109
1.28,8,16,35,10,2,64,16,1.61817
1.28,8,16,35,10,2,64,32,1.58908
1.28,8,16,35,10,2,128,16,2.6694
1.28,8,16,35,10,2,128,32,2.14049
1.28,8,16,35,20,0.5,32,16,1.59847
1.28,8,16,35,20,0.5,32,32,1.66177
1.28,8,16,35,20,0.5,64,16,1.80214
1.28,8,16,35,20,0.5,64,32,1.76552
1.28,8,16,35,20,0.5,128,16,2.79512
1.28,8,16,35,20,0.5,128,32,2.30115
1.28,8,16,35,20,1,32,16,1.49648
1.28,8,16,35,20,1,32,32,1.51969
1.28,8,16,35,20,1,64,16,1.66569
1.28,8,16,35,20,1,64,32,1.66161
1.28,8,16,35,20,1,128,16,2.68594
1.28,8,16,35,20,1,128,32,2.25461
1.28,8,16,35,20,2,32,16,1.43735
1.28,8,16,35,20,2,32,32,1.46813
1.28,8,16,35,20,2,64,16,1.6341
1.28,8,16,35,20,2,64,32,1.61028
1.28,8,16,35,20,2,128,16,2.66556
1.28,8,16,35,20,2,128,32,2.15023
1.28,8,16,35,35,0.5,32,16,1.59168
1.28,8,16,35,35,0.5,32,32,1.65316
1.28,8,16,35,35,0.5,64,16,1.80504
1.28,8,16,35,35,0.5,64,32,1.76591
1.28,8,16,35,35,0.5,128,16,2.77845
1.28,8,16,35,35,0.5,128,32,2.31253
1.28,8,16,35,35,1,32,16,1.57097
1.28,8,16,35,35,1,32,32,1.61944
1.28,8,16,35,35,1,64,16,1.76321
1.28,8,16,35,35,1,64,32,1.69663
1.28,8,16,35,35,1,128,16,2.76378
1.28,8,16,35,35,1,128,32,2.27255
1.28,8,16,35,35,2,32,16,1.50744
1.28,8,16,35,35,2,32,32,1.54739
1.28,8,16,35,35,2,64,16,1.67713
1.28,8,16,35,35,2,64,32,1.66045
1.28,8,16,35,35,2,128,16,2.71697
1.28,8,16,35,35,2,128,32,2.2156
1.28,8,16,35,70,0.5,32,16,1.95996
1.28,8,16,35,70,0.5,32,32,2.02444
1.28,8,16,35,70,0.5,64,16,2.1243
1.28,8,16,35,70,0.5,64,32,2.10846
1.28,8,16,35,70,0.5,128,16,3.11284
1.28,8,16,35,70,0.5,128,32,2.70078
1.28,8,16,35,70,1,32,16,2.13813
1.28,8,16,35,70,1,32,32,2.13767
1.28,8,16,35,70,1,64,16,2.28466
1.28,8,16,35,70,1,64,32,2.22786
1.28,8,16,35,70,1,128,16,3.27991
1.28,8,16,35,70,1,128,32,2.81038
1.28,8,16,35,70,2,32,16,2.10155
1.28,8,16,35,70,2,32,32,2.14397
1.28,8,16,35,70,2,64,16,2.26079
1.28,8,16,35,70,2,64,32,2.24962
1.28,8,16,35,70,2,128,16,3.29712
1.28,8,16,35,70,2,128,32,2.81104
1.28,8,16,70,10,0.5,32,16,1.56015
1.28,8,16,70,10,0.5,32,32,1.60709
1.28,8,16,70,10,0.5,64,16,1.76911
1.28,8,16,70,10,0.5,64,32,1.78723
1.28,8,16,70,10,0.5,128,16,2.77631
1.28,8,16,70,10,0.5,128,32,2.30671
1.28,8,16,70,10,1,32,16,1.47691
1.28,8,16,70,10,1,32,32,1.54054
