busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_batch_size,loader_pes_per_node,loader_progress_thread,loader_async,loader_async_threads,pep_progress_thread,pep_num_threads,pep_ibatch_size,pep_obatch_size,pep_pes_per_node,pep_no_preloading,pep_no_rdma,scale,enable_pep,more_params,objective,elapsed_sec
False,5,4,13,55,2,fifo,True,572,4,False,True,20,True,7,123,167,16,False,False,8,True,True,4.192174875739236,69.28685021400452
False,4,9,27,59,2,fifo_wait,False,94,4,True,False,9,False,11,10,132,16,False,False,8,True,True,4.3443100550972815,146.4318549633026
True,9,6,27,55,4,fifo_wait,False,31,16,True,False,29,True,18,277,30,16,False,False,8,True,True,4.546266198360149,241.93787288665771
True,3,8,26,53,8,fifo,True,41,16,True,True,4,True,4,70,64,1,False,False,8,True,True,4.98421033731483,388.1549777984619
True,1,11,14,35,2,fifo,False,638,1,False,False,21,True,1,113,273,8,True,True,8,True,True,5.213946660074392,572.1029934883118
False,4,14,4,27,8,fifo,True,180,16,True,False,21,True,3,28,68,16,True,True,8,True,True,4.616652358234068,673.3916234970093
False,7,12,18,41,32,fifo_wait,False,10,2,True,True,51,False,26,9,219,4,False,True,8,True,True,5.445322449025351,905.1936275959016
True,1,6,1,14,1,fifo_wait,True,8,4,True,True,4,True,3,57,812,2,True,True,8,True,True,5.164952989647559,1080.3539655208588
True,6,7,9,46,4,fifo,True,2,8,True,True,1,True,29,29,157,4,False,False,8,True,True,5.441096067479399,1311.1786975860596
True,11,12,16,58,2,fifo_wait,True,35,1,True,False,3,True,21,131,67,16,False,False,8,True,True,5.566286297117871,1572.771676778793
False,3,1,12,58,8,fifo,False,231,8,False,True,59,False,3,112,57,4,False,False,8,True,True,4.375894282157907,1663.826106548309
False,5,1,31,26,8,fifo,True,411,16,False,False,10,True,5,69,583,32,True,True,8,True,True,4.806005290131205,1798.1875383853912
False,9,15,8,47,16,fifo_wait,False,407,16,False,True,42,False,19,68,73,32,True,False,8,True,True,4.785317173519125,1929.6284453868864
False,8,6,6,47,2,fifo,False,530,16,False,True,27,True,3,937,557,32,False,False,8,True,True,3.864409085312856,2027.399157524109
False,16,7,5,37,1,fifo,True,990,16,False,False,52,True,22,675,44,32,False,False,8,True,True,4.182350176130169,2133.5183794498444
False,14,14,21,49,1,fifo,True,1307,16,False,False,49,True,4,359,517,16,False,True,8,True,True,3.9498522785834815,2219.624745130539
True,11,8,21,60,2,fifo,False,2040,8,False,False,25,True,23,574,233,16,True,False,8,True,True,4.6987578499008675,2356.5854308605194
False,7,14,3,53,4,fifo_wait,True,1224,16,False,True,33,False,2,131,551,16,False,False,8,True,True,3.866735802322277,2425.080942630768
True,3,9,18,46,4,fifo_wait,False,428,16,False,True,48,True,1,759,988,16,False,True,8,True,True,3.980219980004734,2498.121246099472
False,14,6,21,53,1,fifo_wait,False,1493,16,False,True,47,False,13,627,117,16,False,False,8,True,True,4.206273383557289,2631.421190738678
True,6,8,27,30,8,fifo,False,153,16,False,False,54,False,24,44,669,32,False,True,8,True,True,4.619538295288554,2771.5550968647003
False,2,11,1,55,4,fifo_wait,False,1007,8,True,False,44,False,5,882,945,16,False,True,8,True,True,4.011647674920985,2893.815730571747
False,9,6,29,37,32,fifo,True,165,16,False,False,26,True,1,1008,553,32,False,True,8,True,True,4.323968502728655,3023.919621706009
True,7,13,15,61,1,fifo_wait,True,1808,16,False,False,54,True,1,892,859,16,False,False,8,True,True,3.628893161756847,3099.226146221161
True,16,10,7,52,1,fifo,False,25,16,True,False,25,False,3,250,59,32,False,False,8,True,True,4.992113903167708,3314.8081822395325
True,2,4,14,41,2,fifo,False,135,8,False,False,23,False,23,900,1012,16,False,False,8,True,True,4.525706293497955,3476.0691595077515
False,10,2,19,36,1,fifo_wait,False,1717,16,True,True,35,True,5,309,1020,8,False,False,8,True,True,3.8335465086901457,3557.2498009204865
False,7,8,3,47,1,fifo_wait,True,778,16,False,True,30,True,8,547,637,16,False,False,8,True,True,3.979136856332113,3651.176528215408
False,8,16,24,61,1,fifo,True,1921,16,False,True,49,True,7,758,879,32,False,True,8,True,True,4.0271075254081925,3759.7726440429688
True,14,15,22,61,4,fifo_wait,True,1647,16,False,False,54,True,13,544,982,8,False,False,8,True,True,4.197416746155233,3896.6793434619904
True,1,15,21,22,16,fifo_wait,False,443,8,False,False,35,True,2,720,869,16,False,False,8,True,True,4.145834892950055,3999.8710725307465
True,6,14,4,12,2,fifo_wait,False,1655,16,False,False,32,True,19,895,727,32,False,False,8,True,True,4.233524138650353,4086.486007928848
