busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_batch_size,loader_pes_per_node,loader_progress_thread,loader_async,loader_async_threads,pep_progress_thread,pep_num_threads,pep_ibatch_size,pep_obatch_size,pep_pes_per_node,pep_no_preloading,pep_no_rdma,scale,enable_pep,more_params,objective,elapsed_sec
True,12,14,21,47,16,fifo_wait,False,606,16,False,False,47,True,6,23,55,4,False,True,8,True,True,3.822243922034323,48.43731737136841
False,11,14,12,63,8,fifo_wait,False,135,16,False,False,18,True,8,157,75,32,False,False,8,True,True,3.7444107754772658,90.7966833114624
False,6,6,24,37,16,fifo_wait,False,290,16,True,True,7,True,4,519,15,1,False,True,8,True,True,3.9673868769870024,144.99137949943542
False,4,7,9,62,8,fifo_wait,True,32,8,True,True,27,True,1,33,263,16,False,True,8,True,True,4.121502533255255,206.72798323631287
False,11,13,23,27,8,fifo,False,65,8,True,False,11,True,9,715,17,4,True,False,8,True,True,5.112694975892489,372.97576999664307
True,6,15,11,51,1,fifo,False,49,2,False,False,28,True,20,114,132,16,False,True,8,True,True,5.063854155104257,531.3053123950958
False,3,11,27,39,8,fifo_wait,False,40,2,False,True,2,True,20,895,60,8,False,False,8,True,True,4.968555162908825,675.2544384002686
False,2,6,3,28,2,fifo_wait,True,78,4,False,True,38,True,24,12,8,1,True,False,8,True,True,5.4350010695069155,904.6778123378754
False,16,6,10,41,1,fifo_wait,False,10,1,False,True,17,True,21,275,326,2,True,False,8,True,True,5.700515562841412,1203.8394758701324
True,5,1,1,59,32,fifo_wait,False,54,4,True,True,2,False,17,182,27,1,False,False,8,True,True,5.216470467139051,1388.2533733844757
False,10,1,16,15,4,fifo_wait,False,1572,16,False,True,53,True,9,1017,823,32,False,True,8,True,True,4.071306873926509,1451.4714126586914
False,2,5,26,43,1,fifo_wait,False,605,16,False,False,18,True,2,306,666,1,False,True,8,True,True,4.014863248925682,1511.3465650081637
False,3,13,32,0,32,fifo_wait,False,900,16,True,False,61,True,3,841,338,8,False,False,8,True,True,4.455258066930734,1601.876535654068
True,13,14,4,51,2,fifo_wait,False,1724,16,False,False,5,True,23,676,544,16,False,True,8,True,True,4.195891599640529,1672.8274447917938
False,10,2,14,63,4,fifo_wait,False,806,16,True,True,37,True,4,723,396,1,False,True,8,True,True,3.8924437508331984,1726.4155576229095
False,15,9,12,58,2,fifo_wait,True,512,16,True,False,25,True,29,12,997,16,False,True,8,True,True,4.475198825287459,1818.948949575424
False,15,4,18,10,2,fifo_wait,False,2034,16,False,True,22,True,3,346,270,32,False,False,8,True,True,3.979431886518366,1876.894748210907
True,14,4,11,8,8,fifo,False,1969,16,False,False,5,True,9,586,207,2,False,True,8,True,True,4.623539468483589,1983.749162197113
True,8,10,10,45,4,fifo_wait,False,1445,16,False,False,10,True,8,894,490,32,True,True,8,True,True,4.512167025072242,2079.492431640625
False,6,2,23,10,4,fifo_wait,True,1706,16,True,True,28,True,3,961,999,1,False,True,8,True,True,4.176659305482324,2149.2898070812225
True,4,14,28,48,4,fifo_wait,False,917,16,False,False,61,True,8,394,39,1,False,True,8,True,True,4.184128999119421,2219.618860721588
True,7,13,24,58,32,fifo_wait,False,1822,16,False,True,20,True,8,125,771,8,False,False,8,True,True,4.087724140857967,2284.543011188507
False,8,11,3,41,4,fifo_wait,False,355,16,False,True,60,False,20,255,642,32,False,True,8,True,True,4.422013956244454,2373.9242746829987
True,2,15,29,32,2,fifo_wait,False,562,16,False,True,41,True,22,75,916,16,False,False,8,True,True,4.451853462446885,2465.058409690857
True,9,11,21,61,16,fifo_wait,False,1801,16,False,True,34,True,5,666,905,8,False,True,8,True,True,3.854309967738892,2517.4017639160156
False,11,15,13,32,2,fifo_wait,False,159,16,True,True,55,False,1,495,452,4,False,False,8,True,True,4.480270083864651,2610.685564517975
True,15,6,31,56,32,fifo_wait,False,1731,16,False,False,21,True,1,55,999,8,False,True,8,True,True,3.858106029095557,2663.9447128772736
False,8,15,15,61,32,fifo_wait,False,763,16,False,True,29,True,24,703,495,4,False,True,8,True,True,4.416375044815451,2751.66198015213
False,11,6,28,58,2,fifo_wait,False,1720,16,False,True,44,True,21,228,873,2,False,False,8,True,True,4.411715268200279,2839.2566447257996
True,15,15,4,59,4,fifo_wait,False,1837,16,True,True,36,True,17,225,444,16,True,True,8,True,True,4.5962863737859925,2943.073137521744
False,11,1,2,55,16,fifo_wait,False,1971,16,True,True,31,False,2,596,177,16,False,True,8,True,True,3.706187713928848,2988.348741531372
True,5,1,25,54,8,fifo_wait,True,1911,16,True,False,58,True,25,978,448,1,False,True,8,True,True,4.3672950110862745,3072.019437789917
True,2,13,25,38,1,fifo_wait,False,1860,16,True,True,5,True,22,321,432,32,False,False,8,True,True,4.1137524108645644,3137.9535484313965
False,10,6,31,61,8,fifo_wait,True,1992,16,False,False,54,True,1,70,570,32,True,False,8,True,True,4.4245122080927,3226.1595714092255
False,2,4,26,17,1,fifo_wait,False,68,16,True,True,46,True,4,450,414,4,False,True,8,True,True,4.951500674025198,3372.600967168808
True,10,14,7,44,16,fifo_wait,True,1869,16,True,False,23,True,11,788,828,1,False,False,8,True,True,4.192707296131803,3445.5971360206604
True,5,13,9,45,8,fifo_wait,False,642,8,False,False,43,True,2,1010,443,8,False,True,8,True,True,3.834124349143716,3497.043027162552
True,3,10,11,59,16,fifo_wait,True,930,16,True,False,58,True,5,876,1005,1,False,True,8,True,True,3.9194661782411657,3552.245190382004
False,10,6,30,60,32,fifo_wait,True,971,2,False,False,33,True,1,64,995,1,False,True,8,True,True,5.047347538510218,3712.567483186722
True,15,3,15,26,32,fifo_wait,False,1424,2,True,True,31,True,6,912,279,32,True,True,8,True,True,5.005007713619411,3866.643458127975
False,6,9,10,56,4,fifo,False,1625,16,True,False,35,True,6,961,921,16,False,False,8,True,True,3.885625146020864,3920.158215522766
False,14,13,13,58,16,fifo_wait,False,1364,8,False,True,31,True,7,53,872,4,False,True,8,True,True,4.2640754566369345,3996.631747484207
False,7,8,3,58,1,fifo_wait,False,1359,16,False,False,45,True,1,94,264,16,False,True,8,True,True,3.6663582334162257,4040.556461334229
False,3,16,14,24,2,fifo_wait,False,1445,16,False,True,33,True,3,1019,638,32,False,True,8,True,True,3.9183374551398007,4095.699452638626
True,9,10,4,38,16,fifo_wait,False,1746,16,False,False,28,False,1,17,543,32,False,False,8,True,True,3.723502174491174,4141.948899269104
True,4,3,11,27,32,fifo_wait,False,1553,16,True,True,3,False,30,1021,883,32,True,False,8,True,True,4.5257826473190645,4239.091074705124
False,13,10,1,42,4,fifo_wait,True,1057,16,False,False,26,True,3,973,446,2,False,False,8,True,True,3.8105416235414222,4289.202981710434
True,12,12,4,34,2,fifo_wait,False,1250,16,False,True,31,True,2,996,835,2,False,False,8,True,True,3.881413681285461,4342.349487066269
True,4,4,22,56,4,fifo_wait,False,326,8,True,False,4,True,6,937,203,32,False,True,8,True,True,4.029514271082253,4404.303839921951
True,16,5,32,57,16,fifo_wait,False,1865,16,False,True,40,False,2,780,89,16,False,True,8,True,True,3.913738392951528,4459.823367357254
False,8,13,25,47,8,fifo_wait,False,625,16,False,True,27,False,3,944,788,1,True,False,8,True,True,4.487427713529158,4554.1465883255005
False,13,14,16,58,16,fifo,True,541,2,False,False,18,True,1,984,678,8,False,True,8,True,True,4.7147276593171465,4671.242708444595
False,8,6,11,4,8,fifo,False,1709,16,True,False,29,False,4,170,177,2,False,False,8,True,True,4.457981604235854,4762.111577510834
True,3,8,31,62,2,fifo_wait,True,1543,2,False,False,3,False,2,752,788,32,False,False,8,True,True,4.491659294610936,4856.0709233284
True,5,8,25,30,4,fifo_wait,False,1405,16,True,True,10,True,5,85,126,16,False,True,8,True,True,4.039525568193984,4917.667537689209
True,2,7,4,43,2,fifo_wait,True,420,2,True,False,47,True,2,993,156,32,False,False,8,True,True,4.4894570409188095,5011.483509540558
False,14,15,7,51,1,fifo,False,1402,16,False,True,4,True,6,493,120,2,False,False,8,True,True,4.148033771713222,5079.83106470108
True,5,15,25,55,8,fifo,False,1784,2,True,False,56,True,10,925,903,16,False,False,8,True,True,4.706542286332021,5195.412465810776
True,7,16,27,59,32,fifo_wait,True,1846,16,True,True,32,False,11,905,246,4,False,False,8,True,True,4.353668418297257,5278.177665948868
