,number,objective,datetime_start,datetime_complete,duration,params_busy_spin,params_hepnos_num_event_databases,params_hepnos_num_product_databases,params_hepnos_num_providers,params_hepnos_num_rpc_threads,params_hepnos_pes_per_node,params_hepnos_pool_type,params_hepnos_progress_thread,params_loader_async,params_loader_async_threads,params_loader_batch_size,params_loader_pes_per_node,params_loader_progress_thread,params_pep_ibatch_size,params_pep_no_preloading,params_pep_no_rdma,params_pep_num_threads,params_pep_obatch_size,params_pep_pes_per_node,params_pep_progress_thread,system_attrs_fixed_params,state
0,0,3.6772057102528612,2022-04-29 11:35:02.779530,2022-04-29 11:35:02.792671,0 days 00:00:00.013141,True,6,10,7,23,4,fifo_wait,False,True,2,276,16,True,61,False,False,21,126,8,True,"{'busy_spin': True, 'hepnos_num_event_databases': 6, 'hepnos_num_product_databases': 10, 'hepnos_num_providers': 7, 'hepnos_num_rpc_threads': 23, 'hepnos_pes_per_node': 4, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': False, 'loader_async': True, 'loader_async_threads': 2, 'loader_batch_size': 276, 'loader_pes_per_node': 16, 'loader_progress_thread': True, 'pep_ibatch_size': 61, 'pep_no_preloading': False, 'pep_no_rdma': False, 'pep_num_threads': 21, 'pep_obatch_size': 126, 'pep_pes_per_node': 8, 'pep_progress_thread': True}",COMPLETE
1,1,3.279230668863591,2022-04-29 11:35:02.793397,2022-04-29 11:35:02.803097,0 days 00:00:00.009700,True,9,12,16,51,1,fifo_wait,True,True,3,663,8,True,157,False,False,12,706,32,True,"{'busy_spin': True, 'hepnos_num_event_databases': 9, 'hepnos_num_product_databases': 12, 'hepnos_num_providers': 16, 'hepnos_num_rpc_threads': 51, 'hepnos_pes_per_node': 1, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': True, 'loader_async': True, 'loader_async_threads': 3, 'loader_batch_size': 663, 'loader_pes_per_node': 8, 'loader_progress_thread': True, 'pep_ibatch_size': 157, 'pep_no_preloading': False, 'pep_no_rdma': False, 'pep_num_threads': 12, 'pep_obatch_size': 706, 'pep_pes_per_node': 32, 'pep_progress_thread': True}",COMPLETE
2,2,3.8869414980502937,2022-04-29 11:35:02.803673,2022-04-29 11:35:02.811860,0 days 00:00:00.008187,False,4,14,24,22,2,fifo_wait,True,True,14,498,4,True,197,False,False,7,155,32,True,"{'busy_spin': False, 'hepnos_num_event_databases': 4, 'hepnos_num_product_databases': 14, 'hepnos_num_providers': 24, 'hepnos_num_rpc_threads': 22, 'hepnos_pes_per_node': 2, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': True, 'loader_async': True, 'loader_async_threads': 14, 'loader_batch_size': 498, 'loader_pes_per_node': 4, 'loader_progress_thread': True, 'pep_ibatch_size': 197, 'pep_no_preloading': False, 'pep_no_rdma': False, 'pep_num_threads': 7, 'pep_obatch_size': 155, 'pep_pes_per_node': 32, 'pep_progress_thread': True}",COMPLETE
3,3,3.602845406869984,2022-04-29 11:35:02.812402,2022-04-29 11:35:02.820352,0 days 00:00:00.007950,False,8,15,11,55,32,fifo_wait,True,True,5,103,8,False,323,False,False,2,189,16,True,"{'busy_spin': False, 'hepnos_num_event_databases': 8, 'hepnos_num_product_databases': 15, 'hepnos_num_providers': 11, 'hepnos_num_rpc_threads': 55, 'hepnos_pes_per_node': 32, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': True, 'loader_async': True, 'loader_async_threads': 5, 'loader_batch_size': 103, 'loader_pes_per_node': 8, 'loader_progress_thread': False, 'pep_ibatch_size': 323, 'pep_no_preloading': False, 'pep_no_rdma': False, 'pep_num_threads': 2, 'pep_obatch_size': 189, 'pep_pes_per_node': 16, 'pep_progress_thread': True}",COMPLETE
4,4,4.290748621608433,2022-04-29 11:35:02.820881,2022-04-29 11:35:02.829129,0 days 00:00:00.008248,False,10,15,15,30,2,fifo,False,True,20,1216,4,True,11,False,False,28,80,8,True,"{'busy_spin': False, 'hepnos_num_event_databases': 10, 'hepnos_num_product_databases': 15, 'hepnos_num_providers': 15, 'hepnos_num_rpc_threads': 30, 'hepnos_pes_per_node': 2, 'hepnos_pool_type': 'fifo', 'hepnos_progress_thread': False, 'loader_async': True, 'loader_async_threads': 20, 'loader_batch_size': 1216, 'loader_pes_per_node': 4, 'loader_progress_thread': True, 'pep_ibatch_size': 11, 'pep_no_preloading': False, 'pep_no_rdma': False, 'pep_num_threads': 28, 'pep_obatch_size': 80, 'pep_pes_per_node': 8, 'pep_progress_thread': True}",COMPLETE
5,5,4.66069253070346,2022-04-29 11:35:02.829689,2022-04-29 11:35:02.838254,0 days 00:00:00.008565,True,12,4,25,20,16,fifo_wait,True,False,41,691,4,True,142,True,False,13,94,4,True,"{'busy_spin': True, 'hepnos_num_event_databases': 12, 'hepnos_num_product_databases': 4, 'hepnos_num_providers': 25, 'hepnos_num_rpc_threads': 20, 'hepnos_pes_per_node': 16, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': True, 'loader_async': False, 'loader_async_threads': 41, 'loader_batch_size': 691, 'loader_pes_per_node': 4, 'loader_progress_thread': True, 'pep_ibatch_size': 142, 'pep_no_preloading': True, 'pep_no_rdma': False, 'pep_num_threads': 13, 'pep_obatch_size': 94, 'pep_pes_per_node': 4, 'pep_progress_thread': True}",COMPLETE
6,6,4.214133478972737,2022-04-29 11:35:02.838797,2022-04-29 11:35:02.846677,0 days 00:00:00.007880,False,16,3,24,36,32,fifo_wait,True,True,17,65,16,False,74,False,True,27,62,32,False,"{'busy_spin': False, 'hepnos_num_event_databases': 16, 'hepnos_num_product_databases': 3, 'hepnos_num_providers': 24, 'hepnos_num_rpc_threads': 36, 'hepnos_pes_per_node': 32, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': True, 'loader_async': True, 'loader_async_threads': 17, 'loader_batch_size': 65, 'loader_pes_per_node': 16, 'loader_progress_thread': False, 'pep_ibatch_size': 74, 'pep_no_preloading': False, 'pep_no_rdma': True, 'pep_num_threads': 27, 'pep_obatch_size': 62, 'pep_pes_per_node': 32, 'pep_progress_thread': False}",COMPLETE
7,7,4.631930047379251,2022-04-29 11:35:02.847190,2022-04-29 11:35:02.855527,0 days 00:00:00.008337,True,2,2,7,8,32,fifo_wait,False,True,5,15,8,True,18,True,True,4,24,4,True,"{'busy_spin': True, 'hepnos_num_event_databases': 2, 'hepnos_num_product_databases': 2, 'hepnos_num_providers': 7, 'hepnos_num_rpc_threads': 8, 'hepnos_pes_per_node': 32, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': False, 'loader_async': True, 'loader_async_threads': 5, 'loader_batch_size': 15, 'loader_pes_per_node': 8, 'loader_progress_thread': True, 'pep_ibatch_size': 18, 'pep_no_preloading': True, 'pep_no_rdma': True, 'pep_num_threads': 4, 'pep_obatch_size': 24, 'pep_pes_per_node': 4, 'pep_progress_thread': True}",COMPLETE
8,8,4.590728565817811,2022-04-29 11:35:02.856065,2022-04-29 11:35:02.864517,0 days 00:00:00.008452,True,6,1,25,24,2,fifo_wait,False,True,36,448,1,True,131,False,False,8,340,16,True,"{'busy_spin': True, 'hepnos_num_event_databases': 6, 'hepnos_num_product_databases': 1, 'hepnos_num_providers': 25, 'hepnos_num_rpc_threads': 24, 'hepnos_pes_per_node': 2, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': False, 'loader_async': True, 'loader_async_threads': 36, 'loader_batch_size': 448, 'loader_pes_per_node': 1, 'loader_progress_thread': True, 'pep_ibatch_size': 131, 'pep_no_preloading': False, 'pep_no_rdma': False, 'pep_num_threads': 8, 'pep_obatch_size': 340, 'pep_pes_per_node': 16, 'pep_progress_thread': True}",COMPLETE
9,9,4.006991061946855,2022-04-29 11:35:02.865098,2022-04-29 11:35:02.873476,0 days 00:00:00.008378,True,11,8,1,52,32,fifo_wait,False,True,15,110,16,False,9,False,False,10,12,32,False,"{'busy_spin': True, 'hepnos_num_event_databases': 11, 'hepnos_num_product_databases': 8, 'hepnos_num_providers': 1, 'hepnos_num_rpc_threads': 52, 'hepnos_pes_per_node': 32, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': False, 'loader_async': True, 'loader_async_threads': 15, 'loader_batch_size': 110, 'loader_pes_per_node': 16, 'loader_progress_thread': False, 'pep_ibatch_size': 9, 'pep_no_preloading': False, 'pep_no_rdma': False, 'pep_num_threads': 10, 'pep_obatch_size': 12, 'pep_pes_per_node': 32, 'pep_progress_thread': False}",COMPLETE
