Nodes_16,Input_2000,ScatteringOrder_l0,DRAMPowerPerNode,ProcessorPowerPerNode,Ranks,Nesting_DGZ,Nesting_DZG,Nesting_GDZ,Nesting_GZD,Nesting_ZDG,Nesting_ZGD,Layout_0,Dset,Gset,Method_sweep,OMP,PKG_LIMIT,DRAM_LIMIT,AvgInst,AvgIpc,AvgArithFpu,AvgFreq,AvgTemp,ProcessorPower,DRAMPower,ExecTime,Input_12000,ScatteringOrder_l9,Nodes_64
1.0,1.0,1.0,31.57225625,86.9044625,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,50,0,68292959652.1,3.736,624826193.312,2.111,34.2837,1390.4714,505.1561,7.6394,0.0,0.0,0.0
1.0,1.0,1.0,32.81351875,95.38919375,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,55,0,60881322463.4,4.223,621254756.062,2.3428,33.1925,1526.2271,525.0163,6.0149,0.0,0.0,0.0
1.0,1.0,1.0,33.1785875,103.28010625,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,60,0,59255575528.9,4.5708,620804920.812,2.5125,35.6479,1652.4817,530.8574,5.4116,0.0,0.0,0.0
1.0,1.0,1.0,33.87116875,113.6297125,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,65,0,56337704127.2,4.895,619419477.438,2.6936,35.8681,1818.0754,541.9387,4.8056,0.0,0.0,0.0
1.0,1.0,1.0,34.02113125,117.30571875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,70,0,55748947554.3,5.0561,618670596.562,2.7808,37.1738,1876.8915,544.3381,4.6053,0.0,0.0,0.0
1.0,1.0,1.0,33.891475,119.0218,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,75,0,55526069627.0,5.0356,618858487.375,2.796,39.3379,1904.3488,542.2636,4.6055,0.0,0.0,0.0
1.0,1.0,1.0,33.9809125,119.183825,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,80,0,56205241084.2,5.0974,619000910.188,2.8003,38.1426,1906.9412,543.6946,4.6058,0.0,0.0,0.0
1.0,1.0,1.0,33.8944875,117.84998125,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,85,0,54639636769.2,4.9549,618627838.062,2.8,38.6829,1885.5997,542.3118,4.6054,0.0,0.0,0.0
1.0,1.0,1.0,33.9062875,119.14495,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,90,0,55907631726.7,5.0705,619006384.625,2.8008,40.3893,1906.3192,542.5006,4.6054,0.0,0.0,0.0
1.0,1.0,1.0,33.735625,118.413125,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,95,0,54708291909.2,4.961,618574095.312,2.8004,39.9316,1894.61,539.77,4.6055,0.0,0.0,0.0
1.0,1.0,1.0,34.01876875,117.7267125,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,100,0,56677453018.1,5.1403,619063405.938,2.8004,29.7038,1883.6274,544.3003,4.6054,0.0,0.0,0.0
1.0,1.0,1.0,32.34131875,85.750275,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,1.0,4,50,0,58170978396.7,3.9388,616833682.125,2.0952,33.6022,1372.0044,517.4611,6.2342,0.0,0.0,0.0
1.0,1.0,1.0,33.0006625,94.65203125,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,1.0,4,55,0,57225662761.0,4.2537,616425030.0,2.3032,32.2349,1514.4325,528.0106,5.6123,0.0,0.0,0.0
1.0,1.0,1.0,33.7133125,102.8669,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,1.0,4,60,0,55292969366.9,4.7838,616047160.25,2.5249,34.6768,1645.8704,539.413,4.8118,0.0,0.0,0.0
1.0,1.0,1.0,34.19021875,112.48245625,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,1.0,4,65,0,52687167945.6,4.9942,615054730.75,2.707,34.8648,1799.7193,547.0435,4.4055,0.0,0.0,0.0
1.0,1.0,1.0,34.8091,117.48725625,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,1.0,4,70,0,50909702367.8,5.2938,614119662.375,2.7775,36.0289,1879.7961,556.9456,4.0047,0.0,0.0,0.0
1.0,1.0,1.0,34.30198125,118.19284375,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,1.0,4,75,0,51584506071.4,5.1235,614483804.75,2.797,37.6207,1891.0855,548.8317,4.2057,0.0,0.0,0.0
1.0,1.0,1.0,34.64694375,118.45393125,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,1.0,4,80,0,51644771161.6,5.3061,613951008.562,2.8005,37.1328,1895.2629,554.3511,4.0047,0.0,0.0,0.0
1.0,1.0,1.0,34.72565,118.71360625,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,1.0,4,85,0,51363075221.8,5.2932,614188210.812,2.8005,37.211,1899.4177,555.6104,4.0047,0.0,0.0,0.0
1.0,1.0,1.0,34.4901,119.1949375,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,1.0,4,90,0,51389384992.4,5.2636,613866863.0,2.8004,38.5478,1907.119,551.8416,4.0047,0.0,0.0,0.0
1.0,1.0,1.0,34.6751,119.66666875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,1.0,4,95,0,51517877114.8,5.3572,614348593.875,2.8,38.9951,1914.6667,554.8016,4.0047,0.0,0.0,0.0
1.0,1.0,1.0,34.465875,119.2064625,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,1.0,4,100,0,53910132620.6,5.355,615080912.188,2.8,34.4801,1907.3034,551.454,4.2049,0.0,0.0,0.0
