Nodes_16,Input_12000,ScatteringOrder_l0,DRAMPowerPerNode,ProcessorPowerPerNode,Ranks,Nesting_DGZ,Nesting_DZG,Nesting_GDZ,Nesting_GZD,Nesting_ZDG,Nesting_ZGD,Layout_0,Dset,Gset,Method_sweep,OMP,PKG_LIMIT,DRAM_LIMIT,AvgInst,AvgIpc,AvgArithFpu,AvgFreq,AvgTemp,ProcessorPower,DRAMPower,ExecTime,Input_2000,ScatteringOrder_l9,Nodes_64
1.0,1.0,1.0,32.10839375,98.55626875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,4,1.0,4,55,0,1.41074983182e+12,5.7467,772771889.5,2.4443,34.3221,1576.9003,513.7343,102.4524,0.0,0.0,0.0
1.0,1.0,1.0,32.75096875,107.8811125,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,4,1.0,4,60,0,1.38640749062e+12,6.3547,752048791.25,2.6557,35.4033,1726.0978,524.0155,91.1186,0.0,0.0,0.0
1.0,1.0,1.0,33.2778125,114.41291875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,4,1.0,4,65,0,1.35695410967e+12,6.7216,739452367.938,2.755,35.6309,1830.6067,532.445,84.3074,0.0,0.0,0.0
1.0,1.0,1.0,33.58006875,117.2529875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,4,1.0,4,70,0,1.3343766607e+12,6.9736,717257227.438,2.7935,37.3136,1876.0478,537.2811,79.9136,0.0,0.0,0.0
1.0,1.0,1.0,33.55416875,118.18400625,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,4,1.0,4,75,0,1.33845868862e+12,6.9605,721678408.562,2.8015,37.3108,1890.9441,536.8667,80.3007,0.0,0.0,0.0
1.0,1.0,1.0,33.6179125,118.44895625,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,4,1.0,4,80,0,1.33675770985e+12,7.0049,716278849.812,2.8028,38.0391,1895.1833,537.8866,79.7007,0.0,0.0,0.0
1.0,1.0,1.0,33.65723125,118.60019375,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,4,1.0,4,85,0,1.33145111573e+12,7.0278,713902419.438,2.8011,38.0505,1897.6031,538.5157,79.0984,0.0,0.0,0.0
1.0,1.0,1.0,33.70618125,118.88084375,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,4,1.0,4,90,0,1.32546684729e+12,7.0684,709619870.375,2.801,38.6221,1902.0935,539.2989,78.2996,0.0,0.0,0.0
1.0,1.0,1.0,33.4215125,118.4808875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,4,1.0,4,95,0,1.34229757959e+12,6.9539,724477852.125,2.8018,38.9235,1895.6942,534.7442,80.7014,0.0,0.0,0.0
1.0,1.0,1.0,33.57855625,118.7346,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,4,1.0,4,100,0,1.3348127931e+12,7.0108,717640885.125,2.8014,38.3608,1899.7536,537.2569,79.4991,0.0,0.0,0.0
1.0,1.0,1.0,32.06194375,99.80896875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,8,1.0,4,55,0,1.411734737e+12,6.2194,741908451.188,2.4783,34.7108,1596.9435,512.9911,94.7836,0.0,0.0,0.0
