Nodes_64,Input_2000,ScatteringOrder_l0,DRAMPowerPerNode,ProcessorPowerPerNode,Ranks,Nesting_DGZ,Nesting_DZG,Nesting_GDZ,Nesting_GZD,Nesting_ZDG,Nesting_ZGD,Layout_0,Dset,Gset,Method_sweep,OMP,PKG_LIMIT,DRAM_LIMIT,AvgInst,AvgIpc,AvgArithFpu,AvgFreq,AvgTemp,ProcessorPower,DRAMPower,ExecTime,Input_12000,ScatteringOrder_l9,Nodes_16
1.0,1.0,1.0,32.5732890625,98.9651296875,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,55,0,61713835117.2,2.7278,461937250.156,2.6913,35.2917,6333.7683,2084.6905,9.6157,0.0,0.0,0.0
1.0,1.0,1.0,32.7315359375,103.662320313,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,60,0,62133057620.6,2.8895,461719256.797,2.8598,37.1608,6634.3885,2094.8183,9.0104,0.0,0.0,0.0
1.0,1.0,1.0,32.930459375,105.036964063,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,65,0,60451881342.9,2.9169,460810722.125,2.8835,38.4909,6722.3657,2107.5494,8.61,0.0,0.0,0.0
1.0,1.0,1.0,32.9220390625,105.322564063,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,70,0,60204977217.6,2.9103,460877763.922,2.8877,39.3046,6740.6441,2107.0105,8.8103,0.0,0.0,0.0
1.0,1.0,1.0,32.880059375,105.704495313,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,75,0,60125995667.4,2.9044,460505946.109,2.8841,40.5569,6765.0877,2104.3238,8.8102,0.0,0.0,0.0
1.0,1.0,1.0,32.9820546875,106.139965625,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,80,0,59807364406.4,2.9508,460174230.391,2.884,41.4062,6792.9578,2110.8515,8.61,0.0,0.0,0.0
1.0,1.0,1.0,32.854240625,106.663340625,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,85,0,60631751046.2,2.9277,460933595.375,2.8845,43.3991,6826.4538,2102.6714,8.6099,0.0,0.0,0.0
1.0,1.0,1.0,32.787440625,106.838051562,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,90,0,60336592242.0,2.9167,460640784.922,2.8818,44.178,6837.6353,2098.3962,8.6101,0.0,0.0,0.0
1.0,1.0,1.0,32.83144375,106.697035938,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,95,0,60521024032.1,2.9223,460715214.438,2.8883,43.4931,6828.6103,2101.2124,8.8103,0.0,0.0,0.0
1.0,1.0,1.0,33.062621875,104.2728875,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,100,0,60352833501.2,2.8601,461216886.656,2.8803,34.1841,6673.4648,2116.0078,8.8101,0.0,0.0,0.0
1.0,1.0,1.0,33.5880453125,97.7835921875,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,1.0,4,55,0,49862837491.5,2.8645,446411056.781,2.6758,32.7683,6258.1499,2149.6349,7.2104,0.0,0.0,0.0
1.0,1.0,1.0,33.367425,102.2342375,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,1.0,4,60,0,50580862844.3,2.9468,445490669.141,2.8631,34.4087,6542.9912,2135.5152,7.0081,0.0,0.0,0.0
1.0,1.0,1.0,34.239903125,104.186878125,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,1.0,4,65,0,47749286973.1,3.0859,444904840.172,2.8851,35.115,6667.9602,2191.3538,6.4073,0.0,0.0,0.0
1.0,1.0,1.0,33.901890625,104.176007813,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,1.0,4,70,0,48588657291.7,3.0223,445207015.984,2.8891,35.5886,6667.2645,2169.721,6.8088,0.0,0.0,0.0
1.0,1.0,1.0,34.0061828125,104.5113,128,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,1.0,4,75,0,48279412078.5,3.0392,445008453.047,2.8864,36.6668,6688.7232,2176.3957,6.8077,0.0,0.0,0.0
