,number,objective,datetime_start,datetime_complete,duration,params_busy_spin,params_hepnos_num_event_databases,params_hepnos_num_product_databases,params_hepnos_num_providers,params_hepnos_num_rpc_threads,params_hepnos_pes_per_node,params_hepnos_pool_type,params_hepnos_progress_thread,params_loader_async,params_loader_async_threads,params_loader_batch_size,params_loader_pes_per_node,params_loader_progress_thread,params_pep_ibatch_size,params_pep_no_preloading,params_pep_no_rdma,params_pep_num_threads,params_pep_obatch_size,params_pep_pes_per_node,params_pep_progress_thread,system_attrs_fixed_params,state
0,0,5.210941325642565,2022-04-29 11:35:04.718209,2022-04-29 11:35:04.726952,0 days 00:00:00.008743,True,10,4,23,49,32,fifo,True,True,45,367,8,False,887,False,False,27,29,1,False,"{'busy_spin': True, 'hepnos_num_event_databases': 10, 'hepnos_num_product_databases': 4, 'hepnos_num_providers': 23, 'hepnos_num_rpc_threads': 49, 'hepnos_pes_per_node': 32, 'hepnos_pool_type': 'fifo', 'hepnos_progress_thread': True, 'loader_async': True, 'loader_async_threads': 45, 'loader_batch_size': 367, 'loader_pes_per_node': 8, 'loader_progress_thread': False, 'pep_ibatch_size': 887, 'pep_no_preloading': False, 'pep_no_rdma': False, 'pep_num_threads': 27, 'pep_obatch_size': 29, 'pep_pes_per_node': 1, 'pep_progress_thread': False}",COMPLETE
1,1,4.370376049697832,2022-04-29 11:35:04.727508,2022-04-29 11:35:04.735913,0 days 00:00:00.008405,True,6,2,2,26,8,fifo,False,True,5,938,8,True,87,True,False,2,202,2,False,"{'busy_spin': True, 'hepnos_num_event_databases': 6, 'hepnos_num_product_databases': 2, 'hepnos_num_providers': 2, 'hepnos_num_rpc_threads': 26, 'hepnos_pes_per_node': 8, 'hepnos_pool_type': 'fifo', 'hepnos_progress_thread': False, 'loader_async': True, 'loader_async_threads': 5, 'loader_batch_size': 938, 'loader_pes_per_node': 8, 'loader_progress_thread': True, 'pep_ibatch_size': 87, 'pep_no_preloading': True, 'pep_no_rdma': False, 'pep_num_threads': 2, 'pep_obatch_size': 202, 'pep_pes_per_node': 2, 'pep_progress_thread': False}",COMPLETE
2,2,4.486237824173172,2022-04-29 11:35:04.736478,2022-04-29 11:35:04.744311,0 days 00:00:00.007833,True,10,7,20,26,16,fifo,False,True,29,785,2,False,145,False,True,31,16,8,True,"{'busy_spin': True, 'hepnos_num_event_databases': 10, 'hepnos_num_product_databases': 7, 'hepnos_num_providers': 20, 'hepnos_num_rpc_threads': 26, 'hepnos_pes_per_node': 16, 'hepnos_pool_type': 'fifo', 'hepnos_progress_thread': False, 'loader_async': True, 'loader_async_threads': 29, 'loader_batch_size': 785, 'loader_pes_per_node': 2, 'loader_progress_thread': False, 'pep_ibatch_size': 145, 'pep_no_preloading': False, 'pep_no_rdma': True, 'pep_num_threads': 31, 'pep_obatch_size': 16, 'pep_pes_per_node': 8, 'pep_progress_thread': True}",COMPLETE
3,3,4.473084609406518,2022-04-29 11:35:04.744832,2022-04-29 11:35:04.752579,0 days 00:00:00.007747,True,15,14,1,26,1,fifo_wait,False,True,11,119,4,False,9,False,False,8,416,1,True,"{'busy_spin': True, 'hepnos_num_event_databases': 15, 'hepnos_num_product_databases': 14, 'hepnos_num_providers': 1, 'hepnos_num_rpc_threads': 26, 'hepnos_pes_per_node': 1, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': False, 'loader_async': True, 'loader_async_threads': 11, 'loader_batch_size': 119, 'loader_pes_per_node': 4, 'loader_progress_thread': False, 'pep_ibatch_size': 9, 'pep_no_preloading': False, 'pep_no_rdma': False, 'pep_num_threads': 8, 'pep_obatch_size': 416, 'pep_pes_per_node': 1, 'pep_progress_thread': True}",COMPLETE
4,4,4.752564917377348,2022-04-29 11:35:04.753097,2022-04-29 11:35:04.760937,0 days 00:00:00.007840,False,12,8,9,41,2,fifo,True,False,23,1106,4,False,269,False,True,10,108,2,False,"{'busy_spin': False, 'hepnos_num_event_databases': 12, 'hepnos_num_product_databases': 8, 'hepnos_num_providers': 9, 'hepnos_num_rpc_threads': 41, 'hepnos_pes_per_node': 2, 'hepnos_pool_type': 'fifo', 'hepnos_progress_thread': True, 'loader_async': False, 'loader_async_threads': 23, 'loader_batch_size': 1106, 'loader_pes_per_node': 4, 'loader_progress_thread': False, 'pep_ibatch_size': 269, 'pep_no_preloading': False, 'pep_no_rdma': True, 'pep_num_threads': 10, 'pep_obatch_size': 108, 'pep_pes_per_node': 2, 'pep_progress_thread': False}",COMPLETE
5,5,4.790102039886058,2022-04-29 11:35:04.761496,2022-04-29 11:35:04.769752,0 days 00:00:00.008256,True,13,12,9,2,8,fifo_wait,False,True,55,1905,4,True,90,True,True,5,22,8,True,"{'busy_spin': True, 'hepnos_num_event_databases': 13, 'hepnos_num_product_databases': 12, 'hepnos_num_providers': 9, 'hepnos_num_rpc_threads': 2, 'hepnos_pes_per_node': 8, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': False, 'loader_async': True, 'loader_async_threads': 55, 'loader_batch_size': 1905, 'loader_pes_per_node': 4, 'loader_progress_thread': True, 'pep_ibatch_size': 90, 'pep_no_preloading': True, 'pep_no_rdma': True, 'pep_num_threads': 5, 'pep_obatch_size': 22, 'pep_pes_per_node': 8, 'pep_progress_thread': True}",COMPLETE
6,6,4.907813555981987,2022-04-29 11:35:04.770311,2022-04-29 11:35:04.778116,0 days 00:00:00.007805,True,13,13,25,52,16,fifo_wait,False,True,32,22,4,True,63,False,True,12,114,1,True,"{'busy_spin': True, 'hepnos_num_event_databases': 13, 'hepnos_num_product_databases': 13, 'hepnos_num_providers': 25, 'hepnos_num_rpc_threads': 52, 'hepnos_pes_per_node': 16, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': False, 'loader_async': True, 'loader_async_threads': 32, 'loader_batch_size': 22, 'loader_pes_per_node': 4, 'loader_progress_thread': True, 'pep_ibatch_size': 63, 'pep_no_preloading': False, 'pep_no_rdma': True, 'pep_num_threads': 12, 'pep_obatch_size': 114, 'pep_pes_per_node': 1, 'pep_progress_thread': True}",COMPLETE
7,7,4.667821476642911,2022-04-29 11:35:04.778630,2022-04-29 11:35:04.786410,0 days 00:00:00.007780,False,16,4,24,49,8,fifo,True,False,2,56,4,False,94,False,False,28,67,16,False,"{'busy_spin': False, 'hepnos_num_event_databases': 16, 'hepnos_num_product_databases': 4, 'hepnos_num_providers': 24, 'hepnos_num_rpc_threads': 49, 'hepnos_pes_per_node': 8, 'hepnos_pool_type': 'fifo', 'hepnos_progress_thread': True, 'loader_async': False, 'loader_async_threads': 2, 'loader_batch_size': 56, 'loader_pes_per_node': 4, 'loader_progress_thread': False, 'pep_ibatch_size': 94, 'pep_no_preloading': False, 'pep_no_rdma': False, 'pep_num_threads': 28, 'pep_obatch_size': 67, 'pep_pes_per_node': 16, 'pep_progress_thread': False}",COMPLETE
8,8,3.2719557274626108,2022-04-29 11:35:04.786924,2022-04-29 11:35:04.795065,0 days 00:00:00.008141,False,5,7,14,58,16,fifo_wait,True,False,11,212,16,False,39,False,True,8,10,32,True,"{'busy_spin': False, 'hepnos_num_event_databases': 5, 'hepnos_num_product_databases': 7, 'hepnos_num_providers': 14, 'hepnos_num_rpc_threads': 58, 'hepnos_pes_per_node': 16, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': True, 'loader_async': False, 'loader_async_threads': 11, 'loader_batch_size': 212, 'loader_pes_per_node': 16, 'loader_progress_thread': False, 'pep_ibatch_size': 39, 'pep_no_preloading': False, 'pep_no_rdma': True, 'pep_num_threads': 8, 'pep_obatch_size': 10, 'pep_pes_per_node': 32, 'pep_progress_thread': True}",COMPLETE
9,9,3.493101815029858,2022-04-29 11:35:04.795646,2022-04-29 11:35:04.804550,0 days 00:00:00.008904,True,6,13,1,50,32,fifo_wait,True,False,8,79,16,False,231,False,True,1,13,8,True,"{'busy_spin': True, 'hepnos_num_event_databases': 6, 'hepnos_num_product_databases': 13, 'hepnos_num_providers': 1, 'hepnos_num_rpc_threads': 50, 'hepnos_pes_per_node': 32, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': True, 'loader_async': False, 'loader_async_threads': 8, 'loader_batch_size': 79, 'loader_pes_per_node': 16, 'loader_progress_thread': False, 'pep_ibatch_size': 231, 'pep_no_preloading': False, 'pep_no_rdma': True, 'pep_num_threads': 1, 'pep_obatch_size': 13, 'pep_pes_per_node': 8, 'pep_progress_thread': True}",COMPLETE
