,number,objective,datetime_start,datetime_complete,duration,params_busy_spin,params_hepnos_num_event_databases,params_hepnos_num_product_databases,params_hepnos_num_providers,params_hepnos_num_rpc_threads,params_hepnos_pes_per_node,params_hepnos_pool_type,params_hepnos_progress_thread,params_loader_async,params_loader_async_threads,params_loader_batch_size,params_loader_pes_per_node,params_loader_progress_thread,params_pep_ibatch_size,params_pep_no_preloading,params_pep_no_rdma,params_pep_num_threads,params_pep_obatch_size,params_pep_pes_per_node,params_pep_progress_thread,system_attrs_fixed_params,state
0,0,4.873518567829834,2022-04-29 11:35:06.642488,2022-04-29 11:35:06.650586,0 days 00:00:00.008098,True,12,12,22,39,32,fifo,True,True,11,1476,2,False,832,False,True,21,210,4,False,"{'busy_spin': True, 'hepnos_num_event_databases': 12, 'hepnos_num_product_databases': 12, 'hepnos_num_providers': 22, 'hepnos_num_rpc_threads': 39, 'hepnos_pes_per_node': 32, 'hepnos_pool_type': 'fifo', 'hepnos_progress_thread': True, 'loader_async': True, 'loader_async_threads': 11, 'loader_batch_size': 1476, 'loader_pes_per_node': 2, 'loader_progress_thread': False, 'pep_ibatch_size': 832, 'pep_no_preloading': False, 'pep_no_rdma': True, 'pep_num_threads': 21, 'pep_obatch_size': 210, 'pep_pes_per_node': 4, 'pep_progress_thread': False}",COMPLETE
1,1,3.509795665497463,2022-04-29 11:35:06.651096,2022-04-29 11:35:06.658861,0 days 00:00:00.007765,True,13,6,17,54,16,fifo_wait,True,True,5,193,16,True,349,False,False,18,229,32,False,"{'busy_spin': True, 'hepnos_num_event_databases': 13, 'hepnos_num_product_databases': 6, 'hepnos_num_providers': 17, 'hepnos_num_rpc_threads': 54, 'hepnos_pes_per_node': 16, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': True, 'loader_async': True, 'loader_async_threads': 5, 'loader_batch_size': 193, 'loader_pes_per_node': 16, 'loader_progress_thread': True, 'pep_ibatch_size': 349, 'pep_no_preloading': False, 'pep_no_rdma': False, 'pep_num_threads': 18, 'pep_obatch_size': 229, 'pep_pes_per_node': 32, 'pep_progress_thread': False}",COMPLETE
2,2,3.7132832408309078,2022-04-29 11:35:06.659405,2022-04-29 11:35:06.667671,0 days 00:00:00.008266,False,15,13,6,36,16,fifo,True,True,7,1770,8,True,10,False,True,14,254,32,False,"{'busy_spin': False, 'hepnos_num_event_databases': 15, 'hepnos_num_product_databases': 13, 'hepnos_num_providers': 6, 'hepnos_num_rpc_threads': 36, 'hepnos_pes_per_node': 16, 'hepnos_pool_type': 'fifo', 'hepnos_progress_thread': True, 'loader_async': True, 'loader_async_threads': 7, 'loader_batch_size': 1770, 'loader_pes_per_node': 8, 'loader_progress_thread': True, 'pep_ibatch_size': 10, 'pep_no_preloading': False, 'pep_no_rdma': True, 'pep_num_threads': 14, 'pep_obatch_size': 254, 'pep_pes_per_node': 32, 'pep_progress_thread': False}",COMPLETE
3,3,4.362477563405376,2022-04-29 11:35:06.668246,2022-04-29 11:35:06.676000,0 days 00:00:00.007754,True,5,1,13,23,32,fifo_wait,False,True,13,49,4,False,76,True,True,4,239,4,False,"{'busy_spin': True, 'hepnos_num_event_databases': 5, 'hepnos_num_product_databases': 1, 'hepnos_num_providers': 13, 'hepnos_num_rpc_threads': 23, 'hepnos_pes_per_node': 32, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': False, 'loader_async': True, 'loader_async_threads': 13, 'loader_batch_size': 49, 'loader_pes_per_node': 4, 'loader_progress_thread': False, 'pep_ibatch_size': 76, 'pep_no_preloading': True, 'pep_no_rdma': True, 'pep_num_threads': 4, 'pep_obatch_size': 239, 'pep_pes_per_node': 4, 'pep_progress_thread': False}",COMPLETE
4,4,4.295968824754549,2022-04-29 11:35:06.676517,2022-04-29 11:35:06.684278,0 days 00:00:00.007761,True,7,13,24,29,4,fifo,True,True,17,246,2,False,75,False,False,9,36,32,False,"{'busy_spin': True, 'hepnos_num_event_databases': 7, 'hepnos_num_product_databases': 13, 'hepnos_num_providers': 24, 'hepnos_num_rpc_threads': 29, 'hepnos_pes_per_node': 4, 'hepnos_pool_type': 'fifo', 'hepnos_progress_thread': True, 'loader_async': True, 'loader_async_threads': 17, 'loader_batch_size': 246, 'loader_pes_per_node': 2, 'loader_progress_thread': False, 'pep_ibatch_size': 75, 'pep_no_preloading': False, 'pep_no_rdma': False, 'pep_num_threads': 9, 'pep_obatch_size': 36, 'pep_pes_per_node': 32, 'pep_progress_thread': False}",COMPLETE
5,5,4.332552967900931,2022-04-29 11:35:06.684785,2022-04-29 11:35:06.692452,0 days 00:00:00.007667,False,1,10,18,48,1,fifo,True,False,35,105,16,False,92,False,True,5,25,16,False,"{'busy_spin': False, 'hepnos_num_event_databases': 1, 'hepnos_num_product_databases': 10, 'hepnos_num_providers': 18, 'hepnos_num_rpc_threads': 48, 'hepnos_pes_per_node': 1, 'hepnos_pool_type': 'fifo', 'hepnos_progress_thread': True, 'loader_async': False, 'loader_async_threads': 35, 'loader_batch_size': 105, 'loader_pes_per_node': 16, 'loader_progress_thread': False, 'pep_ibatch_size': 92, 'pep_no_preloading': False, 'pep_no_rdma': True, 'pep_num_threads': 5, 'pep_obatch_size': 25, 'pep_pes_per_node': 16, 'pep_progress_thread': False}",COMPLETE
6,6,4.33950954679147,2022-04-29 11:35:06.693020,2022-04-29 11:35:06.701274,0 days 00:00:00.008254,True,16,2,11,36,8,fifo,True,True,33,924,16,True,23,True,False,15,490,32,False,"{'busy_spin': True, 'hepnos_num_event_databases': 16, 'hepnos_num_product_databases': 2, 'hepnos_num_providers': 11, 'hepnos_num_rpc_threads': 36, 'hepnos_pes_per_node': 8, 'hepnos_pool_type': 'fifo', 'hepnos_progress_thread': True, 'loader_async': True, 'loader_async_threads': 33, 'loader_batch_size': 924, 'loader_pes_per_node': 16, 'loader_progress_thread': True, 'pep_ibatch_size': 23, 'pep_no_preloading': True, 'pep_no_rdma': False, 'pep_num_threads': 15, 'pep_obatch_size': 490, 'pep_pes_per_node': 32, 'pep_progress_thread': False}",COMPLETE
7,7,4.4337883910162095,2022-04-29 11:35:06.701827,2022-04-29 11:35:06.709616,0 days 00:00:00.007789,False,7,2,4,51,2,fifo_wait,False,False,24,79,2,True,197,False,False,6,183,16,True,"{'busy_spin': False, 'hepnos_num_event_databases': 7, 'hepnos_num_product_databases': 2, 'hepnos_num_providers': 4, 'hepnos_num_rpc_threads': 51, 'hepnos_pes_per_node': 2, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': False, 'loader_async': False, 'loader_async_threads': 24, 'loader_batch_size': 79, 'loader_pes_per_node': 2, 'loader_progress_thread': True, 'pep_ibatch_size': 197, 'pep_no_preloading': False, 'pep_no_rdma': False, 'pep_num_threads': 6, 'pep_obatch_size': 183, 'pep_pes_per_node': 16, 'pep_progress_thread': True}",COMPLETE
8,8,4.675203147657737,2022-04-29 11:35:06.710130,2022-04-29 11:35:06.717828,0 days 00:00:00.007698,True,8,14,30,40,4,fifo_wait,False,False,20,113,2,False,244,False,True,11,186,2,True,"{'busy_spin': True, 'hepnos_num_event_databases': 8, 'hepnos_num_product_databases': 14, 'hepnos_num_providers': 30, 'hepnos_num_rpc_threads': 40, 'hepnos_pes_per_node': 4, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': False, 'loader_async': False, 'loader_async_threads': 20, 'loader_batch_size': 113, 'loader_pes_per_node': 2, 'loader_progress_thread': False, 'pep_ibatch_size': 244, 'pep_no_preloading': False, 'pep_no_rdma': True, 'pep_num_threads': 11, 'pep_obatch_size': 186, 'pep_pes_per_node': 2, 'pep_progress_thread': True}",COMPLETE
9,9,4.5160600612322686,2022-04-29 11:35:06.718336,2022-04-29 11:35:06.725946,0 days 00:00:00.007610,False,11,12,15,33,8,fifo,False,True,61,2042,2,False,41,False,False,22,128,32,True,"{'busy_spin': False, 'hepnos_num_event_databases': 11, 'hepnos_num_product_databases': 12, 'hepnos_num_providers': 15, 'hepnos_num_rpc_threads': 33, 'hepnos_pes_per_node': 8, 'hepnos_pool_type': 'fifo', 'hepnos_progress_thread': False, 'loader_async': True, 'loader_async_threads': 61, 'loader_batch_size': 2042, 'loader_pes_per_node': 2, 'loader_progress_thread': False, 'pep_ibatch_size': 41, 'pep_no_preloading': False, 'pep_no_rdma': False, 'pep_num_threads': 22, 'pep_obatch_size': 128, 'pep_pes_per_node': 32, 'pep_progress_thread': True}",COMPLETE
